L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
8,4,2,0.5,1.0,0.45849718055994526,5.180990406866805,0.05953095669902712,1000,1000
8,4,2,0.5,2.0,0.45849718055994526,5.3874782455543,0.060451225543985715,1000,1000
8,4,2,0.5,3.0,0.45849718055994526,5.149817319848953,0.08044395491145591,1000,1000
8,4,2,0.5,4.0,0.45849718055994526,4.251847920612437,0.09796068031581676,1000,1000
8,4,2,0.5,5.0,0.45849718055994526,3.224389671421991,0.07588624970356134,1000,1000
8,4,2,0.5,6.0,0.45849718055994526,2.8990521956022084,0.04413413954887743,1000,1000
8,4,2,0.5,7.0,0.45849718055994526,2.773211442888087,0.04024313869609689,1000,1000
8,4,2,0.5,8.0,0.45849718055994526,2.675658015733477,0.04231201668122854,1000,1000
8,4,2,0.5,9.0,0.45849718055994526,2.4759186732560785,0.037027493279660297,1000,1000
8,4,2,0.5,10.0,0.45849718055994526,2.358621508255993,0.04217626381628881,1000,1000
8,5,2,0.625,1.0,0.45849718055994526,5.707511559902077,0.06428296719705258,1000,1000
8,5,2,0.625,2.0,0.45849718055994526,5.816185838311191,0.05471180274163692,1000,1000
8,5,2,0.625,3.0,0.45849718055994526,5.884354045992338,0.06731758356291763,1000,1000
8,5,2,0.625,4.0,0.45849718055994526,5.285392403462117,0.06988728306602775,1000,1000
8,5,2,0.625,5.0,0.45849718055994526,4.483073285180917,0.052497070210054377,1000,1000
8,5,2,0.625,6.0,0.45849718055994526,3.6196396588508053,0.042229567299091886,1000,1000
8,5,2,0.625,7.0,0.45849718055994526,3.306865680662237,0.04321106840286333,1000,1000
8,5,2,0.625,8.0,0.45849718055994526,3.1912321531855543,0.04101345953865642,1000,1000
8,5,2,0.625,9.0,0.45849718055994526,3.16173410596317,0.046837146975484634,1000,1000
8,5,2,0.625,10.0,0.45849718055994526,3.0519872874436897,0.04834446224754889,1000,1000
8,6,2,0.75,1.0,0.45849718055994526,6.13561621593323,0.07199195078694126,1000,1000
8,6,2,0.75,2.0,0.45849718055994526,6.452218240082178,0.07663073345285237,1000,1000
8,6,2,0.75,3.0,0.45849718055994526,6.4556718991823905,0.05739278924814409,1000,1000
8,6,2,0.75,4.0,0.45849718055994526,6.22138079307412,0.07620180774978884,1000,1000
8,6,2,0.75,5.0,0.45849718055994526,5.364058754686122,0.05127544796208352,1000,1000
8,6,2,0.75,6.0,0.45849718055994526,3.969634074169404,0.06070235754603005,1000,1000
8,6,2,0.75,7.0,0.45849718055994526,3.3891690958667677,0.03340600143524363,1000,1000
8,6,2,0.75,8.0,0.45849718055994526,3.2616265459884337,0.04123415379244397,1000,1000
8,6,2,0.75,9.0,0.45849718055994526,3.193592596520498,0.04094023045185265,1000,1000
8,6,2,0.75,10.0,0.45849718055994526,3.0510711903044196,0.04599945555572498,1000,1000
8,7,2,0.875,1.0,0.45849718055994526,6.535920629292807,0.05246200330281812,1000,1000
8,7,2,0.875,2.0,0.45849718055994526,6.949239867408586,0.09095107561903618,1000,1000
8,7,2,0.875,3.0,0.45849718055994526,6.876881204898669,0.07495746893464503,1000,1000
8,7,2,0.875,4.0,0.45849718055994526,6.822146275574677,0.06755404068221027,1000,1000
8,7,2,0.875,5.0,0.45849718055994526,6.19757610175265,0.08840693834405401,1000,1000
8,7,2,0.875,6.0,0.45849718055994526,5.0615697756884686,0.06846971767895814,1000,1000
8,7,2,0.875,7.0,0.45849718055994526,4.320103812391356,0.04089577746809735,1000,1000
8,7,2,0.875,8.0,0.45849718055994526,4.051200761757855,0.05453549238362203,1000,1000
8,7,2,0.875,9.0,0.45849718055994526,3.9102371977679304,0.03867085085911032,1000,1000
8,7,2,0.875,10.0,0.45849718055994526,3.7136055129197443,0.03319712580707701,1000,1000
8,8,2,1.0,1.0,0.45849718055994526,6.86445585712291,0.07209853778511775,1000,1000
8,8,2,1.0,2.0,0.45849718055994526,7.1698462809511225,0.07151725105004915,1000,1000
8,8,2,1.0,3.0,0.45849718055994526,7.422916055270854,0.0755224902953819,1000,1000
8,8,2,1.0,4.0,0.45849718055994526,7.242498655965196,0.07456002220959,1000,1000
8,8,2,1.0,5.0,0.45849718055994526,6.766704290254984,0.08126176506031874,1000,1000
8,8,2,1.0,6.0,0.45849718055994526,5.7299462773523295,0.05973049634421433,1000,1000
8,8,2,1.0,7.0,0.45849718055994526,4.293243807531092,0.05166381861647711,1000,1000
8,8,2,1.0,8.0,0.45849718055994526,3.7722755434816353,0.03410780903758866,1000,1000
8,8,2,1.0,9.0,0.45849718055994526,3.585468184004809,0.028809926470563726,1000,1000
8,8,2,1.0,10.0,0.45849718055994526,3.494995234691581,0.027290689620070186,1000,1000
