L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n
6,3,3,0.5,1.0,1.0,0.497639441625824,0.003240660292060946,500,0.251648140159982,7.321458538726388e-05,500,1.66893199744126,0.0036170699748041043,500,0.477356042978424,0.0002229052326974516,500,0.812226060998508,0.0002994225494207825,500,0.054569049455625004,0.0001060741979832518,500,19.1367195696932,0.03236163885350702,500,0.341727135173062,0.000577886408098258,500,nan,nan,0,2.04161442283514,0.005271964636471862,500,1.002401861615878,0.010998802487930137,500,1.7654696590100007,2.982024500902759e-17,500,4.5,0.0,500,2.26199999999986,0.015588261807508101,500,3.8918571428567996,0.006776161401481785,500,0.502666666666706,0.0034640581794626473,500,0.8648571428570719,0.001505813644770074,500
6,3,3,0.5,2.0,1.0,0.518104897151204,0.0028279541776745653,500,0.248369007853988,8.559599528392764e-05,500,0.854652233723134,0.0018285584689680175,500,0.44783453037450793,0.0004213564397968927,500,0.757000784865974,0.00041990970624042144,500,0.07581585944077361,0.00020493723133711025,500,14.3190142436396,0.031845268351798385,500,0.255696682922104,0.0005686655062841361,500,nan,nan,0,3.68204632412492,0.0029669074380506365,500,1.017679933607548,0.010841607444310264,500,3.5309393180200015,5.964049001805518e-17,500,4.5,0.0,500,1.8249999999996722,0.01879446658332258,500,2.5039999999992,0.006643636690142895,500,0.40555555555535794,0.004176548129639342,500,0.5564444444448879,0.0014763637089089377,500
6,3,3,0.5,3.0,1.0,0.495689425173036,0.002726793781049176,500,0.254076070371686,2.5305955497004332e-05,500,0.439430484722118,0.0013840865181075745,500,0.413254236031584,0.0007508834366089365,500,0.680299064459182,0.000713716087539992,500,0.10863405270880341,0.0003965148063708453,500,10.34201788564874,0.037886681775538965,500,0.184678890815158,0.0006765478888503318,500,nan,nan,0,5.39874753763872,0.0019881017791725207,500,1.01887352459067,0.010817856711591101,500,5.296408977029999,3.976032667870345e-17,500,4.5,0.0,500,1.817142857142388,0.01946232395946274,500,2.3571428571399995,1.9880163339351726e-17,500,0.40380952380934,0.004324960879892218,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,4.0,1.0,0.5089464562050839,0.0027485692948353273,500,0.25696742960875396,1.2192305101177054e-05,500,0.248744743996066,0.00037707450945833563,500,0.39410324295158405,0.0009279844155996104,500,0.639143929911264,0.0009059908748094929,500,0.1272696111846482,0.0005335187270533348,500,9.086237774836638,0.038326765723967565,500,0.162254245979252,0.000684406530784227,500,nan,nan,0,7.138387192788939,0.001611883313641455,500,1.011243268845144,0.011424175487758492,500,7.061878636040003,1.1928098003611036e-16,500,4.5,0.0,500,1.829285714285386,0.01837925522473331,500,2.3571428571399995,1.9880163339351726e-17,500,0.4065079365077439,0.004084278938842543,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,5.0,1.0,0.491560147202602,0.002716966121959188,500,0.258557152190564,7.056583711454499e-06,500,0.162233087917598,0.0001712642878732494,500,0.38499664049125204,0.0011020410902419088,500,0.617860936957804,0.0010796254710837977,500,0.136157875619256,0.0006429004280924989,500,8.614098074248261,0.042045211226653986,500,0.15382317989729,0.0007508073433326926,500,nan,nan,0,8.888821259351579,0.0012035464983062808,500,1.014972746064718,0.010930514450376485,500,8.82734829505,0.0,500,4.5,0.0,500,1.799999999999406,0.019307676947378356,500,2.3571428571399995,1.9880163339351726e-17,500,0.39999999999981994,0.0042905948772060075,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,6.0,1.0,0.47193569126508,0.002735928621860486,500,0.259513745113586,4.584880540911176e-06,500,0.114015228967828,0.00011115092157538838,500,0.38059094869625,0.0010638369590382608,500,0.606295244195234,0.0010630974369506849,500,0.140354007910552,0.0006164643924861373,500,8.3921287882687,0.04004566184801284,500,0.149859442647656,0.0007151011044303757,500,nan,nan,0,10.645030534606201,0.0010209160751055986,500,1.0242448347581479,0.010995124252533555,500,10.592817954099997,7.95206533574069e-17,500,4.5,0.0,500,1.813571428571398,0.01801402599957738,500,2.3571428571399995,1.9880163339351726e-17,500,0.40301587301566394,0.004003116888808614,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,7.0,1.0,0.46889957447229197,0.002768125244785653,500,0.260121398993174,3.374716582357294e-06,500,0.084375985149325,7.261062843355103e-05,500,0.37332279717703604,0.0011169835231934207,500,0.59366747118126,0.0011254112900784877,500,0.145892233359612,0.0006710425247405362,500,8.115801658403882,0.04122211138944829,500,0.144925029614332,0.0007361091319552293,500,nan,nan,0,12.4040737065452,0.0008656792923961781,500,1.0393150731351741,0.010399814995353305,500,12.358287613100002,7.95206533574069e-17,500,4.5,0.0,500,1.7821428571425681,0.018848789889293952,500,2.3571428571399995,1.9880163339351726e-17,500,0.39603174603153196,0.004188619975408215,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,8.0,1.0,0.46476857135504407,0.0028277079893051457,500,0.26052547076207805,2.5209485004853063e-06,500,0.0647512587627746,5.6314922001183805e-05,500,0.374691866179018,0.0011568175557410754,500,0.5916284808484361,0.0011490789134817568,500,0.145671163130938,0.0006772310979141524,500,8.157293855367781,0.04119110915256074,500,0.14566596170302662,0.0007355555205822607,500,nan,nan,0,14.162037026437801,0.0007916184688141048,500,1.010211208219794,0.011196842855449123,500,14.123757272099995,2.3856196007222073e-16,500,4.5,0.0,500,1.8449999999998221,0.01846339893740846,500,2.3571428571399995,1.9880163339351726e-17,500,0.40999999999982195,0.004102977541662335,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,9.0,1.0,0.46092113495443404,0.002830190198661864,500,0.26080541752710995,1.9344776212443867e-06,500,0.051251314718515004,4.3341433317912236e-05,500,0.37078590265299,0.0011272618250219213,500,0.584962110514392,0.0011284831991722087,500,0.148415544508318,0.0006705381088994135,500,8.00774333764088,0.04082904968765433,500,0.142995416743595,0.0007290901729938863,500,nan,nan,0,15.922774625787,0.0007020834824790762,500,1.000851348254104,0.011479864963910952,500,15.889226931100003,1.590413067148138e-16,500,4.5,0.0,500,1.835714285713908,0.018647688567311384,500,2.3571428571399995,1.9880163339351726e-17,500,0.40793650793633796,0.00414393079275044,500,0.5238095238099999,4.9700408348379315e-18,500
6,3,3,0.5,10.0,1.0,0.461694763112326,0.0027479097542612097,500,0.26101306750531,1.7499003694027571e-06,500,0.0416615424673142,3.6821015821734987e-05,500,0.36783759735641397,0.001173663233116099,500,0.5801527774198441,0.0011637729213374247,500,0.15075792703725802,0.0006914354551147224,500,7.9384661550220805,0.042758444530880874,500,0.14175832419683598,0.0007635436523369901,500,nan,nan,0,17.6864884788168,0.0006219276130983811,500,1.032183632434652,0.01081387275658854,500,17.6546965901,0.0,500,4.5,0.0,500,1.80214285714274,0.018883907950110954,500,2.3571428571399995,1.9880163339351726e-17,500,0.400476190475986,0.004196423988926063,500,0.5238095238099999,4.9700408348379315e-18,500
