L,N,nmax,q_eff2,q_mean,sum_aq
8,4,2,0.5316455696202532,0.0,0.593984962406015
8,4,3,1.1320754716981134,2.107852676469932e-17,0.6583850931677018
8,4,4,1.4181818181818182,0.0,0.6666666666666666
8,4,5,1.4181818181818182,0.0,0.6666666666666666
8,5,2,0.5347593582887701,0.0,0.742063492063492
8,5,3,1.2598425196850396,0.0,0.8722527472527472
8,5,4,1.838297872340425,0.0,0.8992346938775512
8,5,5,2.0363636363636366,3.4587717305629883e-17,0.9027777777777776
8,6,2,0.5247813411078718,0.0,0.875
8,6,3,1.3290653008962867,0.0,1.0938375350140057
8,6,4,2.1113445378151257,2.40820435488545e-17,1.152542372881356
8,6,5,2.592964824120603,0.0,1.1651053864168617
8,7,2,0.5014925373134328,0.0,0.9891732283464567
8,7,3,1.3541858325666973,0.0,1.3191747572815533
8,7,4,2.279329608938548,1.9500230108499958e-17,1.4233460559796436
8,7,5,3.023931274289221,-1.9120633805162236e-17,1.451603325415677
8,8,2,0.47236180904522607,0.0,1.0785907859078592
8,8,3,1.3495934959349591,-3.594497478948148e-17,1.5443369081872875
8,8,4,2.3828877005347597,3.250519283327665e-17,1.7077625570776254
