L,N,nmax,q,a_q
8,4,2,-1,0.15789473684210525
8,4,2,0,0.2781954887218045
8,4,2,1,0.15789473684210525
8,4,3,-2,0.055900621118012424
8,4,3,-1,0.14906832298136646
8,4,3,0,0.2484472049689441
8,4,3,1,0.14906832298136646
8,4,3,2,0.055900621118012424
8,4,4,-3,0.012121212121212121
8,4,4,-2,0.05454545454545454
8,4,4,-1,0.14545454545454545
8,4,4,0,0.24242424242424243
8,4,4,1,0.14545454545454545
8,4,4,2,0.05454545454545454
8,4,4,3,0.012121212121212121
8,4,5,-3,0.012121212121212121
8,4,5,-2,0.05454545454545454
8,4,5,-1,0.14545454545454545
8,4,5,0,0.24242424242424243
8,4,5,1,0.14545454545454545
8,4,5,2,0.05454545454545454
8,4,5,3,0.012121212121212121
8,5,2,-1,0.1984126984126984
8,5,2,0,0.34523809523809523
8,5,2,1,0.1984126984126984
8,5,3,-2,0.08653846153846154
8,5,3,-1,0.2032967032967033
8,5,3,0,0.2925824175824176
8,5,3,1,0.2032967032967033
8,5,3,2,0.08653846153846154
8,5,4,-3,0.030612244897959183
8,5,4,-2,0.09056122448979592
8,5,4,-1,0.18877551020408162
8,5,4,0,0.27933673469387754
8,5,4,1,0.18877551020408162
8,5,4,2,0.09056122448979592
8,5,4,3,0.030612244897959183
8,5,5,-4,0.006313131313131313
8,5,5,-3,0.030303030303030304
8,5,5,-2,0.08964646464646464
8,5,5,-1,0.18686868686868685
8,5,5,0,0.2765151515151515
8,5,5,1,0.18686868686868685
8,5,5,2,0.08964646464646464
8,5,5,3,0.030303030303030304
8,5,5,4,0.006313131313131313
8,6,2,-1,0.22959183673469388
8,6,2,0,0.4158163265306123
8,6,2,1,0.22959183673469388
8,6,3,-2,0.11764705882352941
8,6,3,-1,0.2563025210084034
8,6,3,0,0.34593837535014005
8,6,3,1,0.2563025210084034
8,6,3,2,0.11764705882352941
8,6,4,-3,0.05084745762711865
8,6,4,-2,0.13075060532687652
8,6,4,-1,0.2360774818401937
8,6,4,0,0.3171912832929782
8,6,4,1,0.2360774818401937
8,6,4,2,0.13075060532687652
8,6,4,3,0.05084745762711865
8,6,5,-4,0.01756440281030445
8,6,5,-3,0.05503512880562061
8,6,5,-2,0.12646370023419204
8,6,5,-1,0.22833723653395785
8,6,5,0,0.3103044496487119
8,6,5,1,0.22833723653395785
8,6,5,2,0.12646370023419204
8,6,5,3,0.05503512880562061
8,6,5,4,0.01756440281030445
8,7,2,-1,0.24803149606299213
8,7,2,0,0.49311023622047245
8,7,2,1,0.24803149606299213
8,7,3,-2,0.14563106796116504
8,7,3,-1,0.3106796116504854
8,7,3,0,0.4065533980582524
8,7,3,1,0.3106796116504854
8,7,3,2,0.14563106796116504
8,7,4,-3,0.07124681933842239
8,7,4,-2,0.1736641221374046
8,7,4,-1,0.2862595419847328
8,7,4,0,0.36100508905852413
8,7,4,1,0.2862595419847328
8,7,4,2,0.1736641221374046
8,7,4,3,0.07124681933842239
8,7,5,-4,0.031175771971496437
8,7,5,-3,0.08432304038004751
8,7,5,-2,0.16656769596199522
8,7,5,-1,0.27078384798099764
8,7,5,0,0.34590261282660334
8,7,5,1,0.27078384798099764
8,7,5,2,0.16656769596199522
8,7,5,3,0.08432304038004751
8,7,5,4,0.031175771971496437
8,8,2,-1,0.25474254742547425
8,8,2,0,0.5691056910569106
8,8,2,1,0.25474254742547425
8,8,3,-2,0.16950039236201936
8,8,3,-1,0.3641119539628564
8,8,3,0,0.477112215537536
8,8,3,1,0.3641119539628564
8,8,3,2,0.16950039236201936
8,8,4,-3,0.09205479452054795
8,8,4,-2,0.21662100456621006
8,8,4,-1,0.33972602739726027
8,8,4,0,0.410958904109589
8,8,4,1,0.33972602739726027
8,8,4,2,0.21662100456621006
8,8,4,3,0.09205479452054795
