L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
8,4,2,0.1,10.0,0.766179748924143,266,70,0.7609023105052195,1.0069357634298934
8,4,2,0.25,10.0,0.7549419860556341,266,70,0.7609023105052195,0.9921667678395826
8,4,2,0.5,10.0,0.749002290826414,266,70,0.7609023105052195,0.9843606472019987
8,4,2,0.75,10.0,0.737961982347451,266,70,0.7609023105052195,0.9698511519270632
8,4,2,1.0,10.0,0.7195095513805929,266,70,0.7609023105052195,0.9456004291836847
8,4,2,2.0,10.0,0.613047459435831,266,70,0.7609023105052195,0.8056848441277348
8,4,2,3.0,10.0,0.501049352492525,266,70,0.7609023105052195,0.6584936667623484
8,4,2,4.0,10.0,0.42137702958796797,266,70,0.7609023105052195,0.5537859772145842
8,4,2,5.0,10.0,0.361226341868482,266,70,0.7609023105052195,0.47473418976561793
8,4,2,6.0,10.0,0.31749701588799106,266,70,0.7609023105052195,0.41726383466647804
8,4,2,7.0,10.0,0.28310153822627104,266,70,0.7609023105052195,0.372060295149188
8,4,2,8.0,10.0,0.259992051937738,266,70,0.7609023105052195,0.34168913452912236
8,4,2,9.0,10.0,0.24061213831325198,266,70,0.7609023105052195,0.31621948703703073
8,4,2,10.0,10.0,0.228295433607627,266,70,0.7609023105052195,0.30003251462864494
8,4,2,11.0,10.0,0.217140892303689,266,70,0.7609023105052195,0.28537289124475523
8,4,2,12.0,10.0,0.21507246437375,266,70,0.7609023105052195,0.28265450295577027
8,4,2,13.0,10.0,0.204465199492152,266,70,0.7609023105052195,0.26871412620155194
8,4,2,14.0,10.0,0.19740486667297003,266,70,0.7609023105052195,0.2594352309718948
8,4,2,15.0,10.0,0.1935795159669063,266,70,0.7609023105052195,0.25440784354876583
8,4,3,0.1,10.0,0.7436075086208,322,70,0.7357273042834745,1.0107107678231406
8,4,3,0.25,10.0,0.732420642941235,322,70,0.7357273042834745,0.9955055883844628
8,4,3,0.5,10.0,0.723950100341487,322,70,0.7357273042834745,0.9839924332379408
8,4,3,0.75,10.0,0.709214764516688,322,70,0.7357273042834745,0.9639641758401135
8,4,3,1.0,10.0,0.6887225381724367,322,70,0.7357273042834745,0.9361111571673748
8,4,3,2.0,10.0,0.5865576257493966,322,70,0.7357273042834745,0.7972486848515777
8,4,3,3.0,10.0,0.4801654462071866,322,70,0.7357273042834745,0.6526405142389273
8,4,3,4.0,10.0,0.38978264959674336,322,70,0.7357273042834745,0.5297922848960364
8,4,3,5.0,10.0,0.3328068612256033,322,70,0.7357273042834745,0.45235083608827625
8,4,3,6.0,10.0,0.2933423479611567,322,70,0.7357273042834745,0.3987106992676357
8,4,3,7.0,10.0,0.2640020403878933,322,70,0.7357273042834745,0.35883137522672903
8,4,3,8.0,10.0,0.23676175636270336,322,70,0.7357273042834745,0.3218064016168135
8,4,3,9.0,10.0,0.22046693209569668,322,70,0.7357273042834745,0.2996584886983495
8,4,3,10.0,10.0,0.20441913913807996,322,70,0.7357273042834745,0.27784634055027213
8,4,3,11.0,10.0,0.19110493841147,322,70,0.7357273042834745,0.25974968891169165
8,4,3,12.0,10.0,0.18975365841243666,322,70,0.7357273042834745,0.25791303015080824
8,4,3,13.0,10.0,0.18156057989692764,322,70,0.7357273042834745,0.24677700397941552
8,4,3,14.0,10.0,0.177722835015541,322,70,0.7357273042834745,0.24156074401591693
