L,nmax,W,U_cross,n_U
8,2,0.1,5.528279691067257,10
8,2,0.25,8.225783351323457,10
8,2,0.5,9.827547156058348,10
8,2,0.75,nan,10
8,2,1.0,nan,10
8,2,2.0,nan,10
8,2,3.0,nan,10
8,2,4.0,nan,10
8,2,5.0,nan,10
8,2,6.0,nan,10
8,2,7.0,nan,10
8,2,8.0,nan,10
8,2,9.0,nan,10
8,2,10.0,nan,10
8,2,11.0,nan,10
8,2,12.0,nan,10
8,2,13.0,nan,10
8,2,14.0,nan,10
8,2,15.0,nan,10
8,3,0.1,3.9905800329422263,10
8,3,0.25,4.165935657306973,10
8,3,0.5,4.304416465692729,10
8,3,0.75,4.433406319526887,10
8,3,1.0,4.510809871770056,10
8,3,2.0,4.896817725425313,10
8,3,3.0,5.395565929286638,10
8,3,4.0,5.852132479227779,10
8,3,5.0,5.991539497131305,10
8,3,6.0,6.8437069915981805,10
8,3,7.0,7.05498673742747,10
8,3,8.0,8.037245774432629,10
8,3,9.0,8.591549371085103,10
8,3,10.0,8.98917313648289,10
8,3,11.0,nan,10
8,3,12.0,9.52032491240333,10
8,3,13.0,nan,10
8,3,14.0,nan,10
8,3,15.0,nan,10
8,4,0.1,2.7322965704514734,10
8,4,0.25,2.863278403346492,10
8,4,0.5,2.875793801584046,10
8,4,0.75,2.865879217177479,10
8,4,1.0,2.882106697438707,10
8,4,2.0,3.1891829766921838,10
8,4,3.0,3.47208472229711,10
8,4,4.0,3.754055766833482,10
8,4,5.0,4.0674578150844765,10
8,4,6.0,4.454867761306778,10
8,4,7.0,4.425029502585099,10
8,4,8.0,4.920762336031833,10
8,4,9.0,4.89669703229375,10
8,4,10.0,5.486499472616979,10
8,4,11.0,5.705400907449619,10
8,4,12.0,5.889862892098821,10
8,4,13.0,6.203794593009125,10
8,4,14.0,5.663529588413397,10
8,4,15.0,6.365209809100189,10
8,5,0.1,2.22118851613488,10
8,5,0.25,2.3031462747534186,10
8,5,0.5,2.263278763406486,10
8,5,0.75,2.2211878494619004,10
8,5,1.0,2.22111115593158,10
8,5,2.0,2.3670095842852654,10
8,5,3.0,2.634046641801141,10
8,5,4.0,3.0065772682433245,10
8,5,5.0,3.1161030112674375,10
8,5,6.0,3.4587846285961565,10
8,5,7.0,3.5911882829483024,10
8,5,8.0,3.9014717803452936,10
8,5,9.0,4.256068941659645,10
8,5,10.0,3.9272184130597365,10
8,5,11.0,4.3687075609167145,10
8,5,12.0,4.43682698142013,10
8,5,13.0,4.528300343679891,10
8,5,14.0,4.53594160302885,10
8,5,15.0,5.5425869042886795,10
