L,N,nmax,c_half_slope,b_half_intercept,r2,n_W
8,4,2,0.2715536687041928,3.0349566676741357,0.953357654686819,19
8,4,3,0.24799806277271463,2.5599385968957806,0.9702117912271464,19
8,4,4,0.23323511163806535,2.6503007725857426,0.9594449469773522,19
8,4,5,0.23541334270914244,2.639597527990618,0.9893621493717479,19
8,5,2,0.23244129460758595,3.4718957962659562,0.9180975188842987,19
8,5,3,0.21781304079238345,2.932288162476844,0.9796359031620232,19
8,5,4,0.1943184446958526,2.892889075264149,0.9591575459942926,19
8,5,5,0.18046211506770848,2.917765459294011,0.9610103854086528,19
8,6,2,0.23898311124315189,3.8101384117198003,0.9633344907835701,19
8,6,3,0.17626516897443545,3.2274060962669555,0.974918671267529,19
8,6,4,0.13806324519144134,3.1400109864460113,0.9299504256573,19
8,6,5,0.13640176286876776,3.090900135117272,0.9659567860224638,19
8,7,2,0.23456883213531535,3.8427010370209205,0.9421544522626443,19
8,7,3,0.14557082643055544,3.6551370944154122,0.9574131528404617,19
8,7,4,0.12447013107964625,3.329501169740531,0.9558352142284858,19
8,7,5,0.11449981995867471,3.1687255959654603,0.9247770914678087,19
8,8,2,0.2082509113346872,4.286535399708626,0.9186667653231507,19
8,8,3,0.1319862538876187,3.949461715902537,0.939889741628176,19
8,8,4,0.11737359613869659,3.366582601091968,0.9396650701779479,19
