L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
6,3,4,0.5,1.0,onsite_pair_density,10.0,0.26101150542384594
6,3,4,0.5,1.0,onsite_pair_variance,1.0,1.6750423496644202
6,3,4,0.5,1.0,charge_fluctuation,1.0,0.47698906260365403
6,3,4,0.5,1.0,fock_entropy_normalized,1.0,0.812305246733832
6,3,4,0.5,1.0,pr_normalized,1.0,0.340965003023608
6,3,4,0.5,1.0,Nres_mean_l1.0,1.0,2.24685714285706
6,3,4,0.5,1.0,Nres_mean_l2.0,1.0,3.8946428571424803
6,3,4,0.5,1.0,fres_l1.0,1.0,0.49930158730160196
6,3,4,0.5,1.0,fres_l2.0,1.0,0.865476190476116
6,4,4,0.6666666666666666,1.0,onsite_pair_density,1.0,0.501850012390584
6,4,4,0.6666666666666666,1.0,onsite_pair_variance,1.0,3.7091447674310403
6,4,4,0.6666666666666666,1.0,charge_fluctuation,1.0,0.6973802965012099
6,4,4,0.6666666666666666,1.0,fock_entropy_normalized,1.0,0.828151178631648
6,4,4,0.6666666666666666,1.0,pr_normalized,1.0,0.29718746624091197
6,4,4,0.6666666666666666,1.0,Nres_mean_l1.0,1.0,2.44352380952374
6,4,4,0.6666666666666666,1.0,Nres_mean_l2.0,1.0,4.26641269841322
6,4,4,0.6666666666666666,1.0,fres_l1.0,1.0,0.458160714285692
6,4,4,0.6666666666666666,1.0,fres_l2.0,1.0,0.799952380952364
6,5,4,0.8333333333333334,1.0,onsite_pair_density,1.0,0.823009164982484
6,5,4,0.8333333333333334,1.0,onsite_pair_variance,1.0,5.85820878618306
6,5,4,0.8333333333333334,1.0,charge_fluctuation,1.0,0.934703345988264
6,5,4,0.8333333333333334,1.0,fock_entropy_normalized,1.0,0.8439723800986879
6,5,4,0.8333333333333334,1.0,pr_normalized,1.0,0.27853921543733806
6,5,4,0.8333333333333334,1.0,Nres_mean_l1.0,1.0,2.5745853658530597
6,5,4,0.8333333333333334,1.0,Nres_mean_l2.0,1.0,4.60448780487798
6,5,4,0.8333333333333334,1.0,fres_l1.0,1.0,0.425637096774274
6,5,4,0.8333333333333334,1.0,fres_l2.0,1.0,0.7612258064515479
6,6,4,1.0,1.0,onsite_pair_density,1.0,1.20079586288864
6,6,4,1.0,1.0,onsite_pair_variance,1.0,8.0997911799608
6,6,4,1.0,1.0,charge_fluctuation,1.0,1.17244489339322
6,6,4,1.0,1.0,fock_entropy_normalized,1.0,0.856501264705162
6,6,4,1.0,1.0,pr_normalized,1.0,0.270327371014728
6,6,4,1.0,1.0,Nres_mean_l1.0,1.0,2.74892018779318
6,6,4,1.0,1.0,Nres_mean_l2.0,1.0,4.92710798122096
6,6,4,1.0,1.0,fres_l1.0,1.0,0.413502824858762
6,6,4,1.0,1.0,fres_l2.0,1.0,0.741153954802222
6,7,4,1.1666666666666667,1.0,onsite_pair_density,1.0,1.60967761887796
6,7,4,1.1666666666666667,1.0,onsite_pair_variance,1.0,9.61043774502572
6,7,4,1.1666666666666667,1.0,charge_fluctuation,1.0,1.38902524795446
6,7,4,1.1666666666666667,1.0,fock_entropy_normalized,1.0,0.867030609353998
6,7,4,1.1666666666666667,1.0,pr_normalized,1.0,0.26927839946719795
6,7,4,1.1666666666666667,1.0,Nres_mean_l1.0,1.0,2.89297297297258
6,7,4,1.1666666666666667,1.0,Nres_mean_l2.0,1.0,5.16856456456538
6,7,4,1.1666666666666667,1.0,fres_l1.0,1.0,0.40545454545451004
6,7,4,1.1666666666666667,1.0,fres_l2.0,1.0,0.724382154882154
6,8,4,1.3333333333333333,1.0,onsite_pair_density,1.0,2.0303809746795802
6,8,4,1.3333333333333333,1.0,onsite_pair_variance,1.0,10.4860404788574
6,8,4,1.3333333333333333,1.0,charge_fluctuation,1.0,1.56325256399102
6,8,4,1.3333333333333333,1.0,fock_entropy_normalized,1.0,0.876083745309914
6,8,4,1.3333333333333333,1.0,pr_normalized,1.0,0.274931831504324
6,8,4,1.3333333333333333,1.0,Nres_mean_l1.0,1.0,3.05623554153522
6,8,4,1.3333333333333333,1.0,Nres_mean_l2.0,1.0,5.38395793901172
6,8,4,1.3333333333333333,1.0,fres_l1.0,1.0,0.406387024608468
6,8,4,1.3333333333333333,1.0,fres_l2.0,1.0,0.7159038031319519
6,9,4,1.5,1.0,onsite_pair_density,1.0,2.46239070110914
6,9,4,1.5,1.0,onsite_pair_variance,1.0,11.316664350244
6,9,4,1.5,1.0,charge_fluctuation,1.0,1.69267457848432
6,9,4,1.5,1.0,fock_entropy_normalized,1.0,0.883038230283014
6,9,4,1.5,1.0,pr_normalized,1.0,0.28196789569666797
6,9,4,1.5,1.0,Nres_mean_l1.0,1.0,3.21660353130052
6,9,4,1.5,1.0,Nres_mean_l2.0,1.0,5.58424719101012
6,9,4,1.5,1.0,fres_l1.0,1.0,0.41131855500809805
6,9,4,1.5,1.0,fres_l2.0,1.0,0.71407758620693
6,3,4,0.5,2.0,onsite_pair_density,10.0,0.26098766639378396
6,3,4,0.5,2.0,onsite_pair_variance,1.0,2.0420249267756403
6,3,4,0.5,2.0,charge_fluctuation,1.0,0.46492711160049394
6,3,4,0.5,2.0,fock_entropy_normalized,1.0,0.7930987584033441
6,3,4,0.5,2.0,pr_normalized,1.0,0.307975427941582
6,3,4,0.5,2.0,Nres_mean_l1.0,1.0,1.7605714285715859
6,3,4,0.5,2.0,Nres_mean_l2.0,1.0,3.20000000000018
6,3,4,0.5,2.0,fres_l1.0,1.0,0.39123809523789393
6,3,4,0.5,2.0,fres_l2.0,1.0,0.711111111111126
6,4,4,0.6666666666666666,2.0,onsite_pair_density,1.0,0.50298996366728
6,4,4,0.6666666666666666,2.0,onsite_pair_variance,1.0,4.27737446081922
6,4,4,0.6666666666666666,2.0,charge_fluctuation,1.0,0.68082995982008
6,4,4,0.6666666666666666,2.0,fock_entropy_normalized,1.0,0.81203694529139
6,4,4,0.6666666666666666,2.0,pr_normalized,1.0,0.269734217814602
6,4,4,0.6666666666666666,2.0,Nres_mean_l1.0,1.0,1.983269841269514
6,4,4,0.6666666666666666,2.0,Nres_mean_l2.0,1.0,3.6186349206344204
6,4,4,0.6666666666666666,2.0,fres_l1.0,1.0,0.371863095238038
6,4,4,0.6666666666666666,2.0,fres_l2.0,1.0,0.6784940476190521
