L,N,nmax,W_over_t,U_over_t,realizations,entropy_norm_mean,entropy_norm_sem,delta_entropy_norm_mean,delta_entropy_norm_paired_sem,entropy2_norm_mean,entropy2_norm_sem,IPR_mean,IPR_sem,gap_ratio_mean,gap_ratio_sem,Q_mean_mean,Q_mean_sem,Q_variance_mean,Q_variance_sem,H_Q_mean,H_Q_sem,S_intra_Q_mean,S_intra_Q_sem
6,3,2,0.5,0.0,200,0.8338707057733379,0.0004521900639459751,0.0,0.0,0.7593181137026118,0.0006670854252654653,0.052078429161673295,0.00014324099392076236,0.5348601959930939,0.003938463232430397,1.2677631473431887,0.0006395013506630337,0.8992709023140031,0.0007634185704263684,0.6408807607073095,0.00042440295247283465,2.6212406238305928,0.0018254296754507886
6,3,2,0.5,0.04157569,200,0.833620189464319,0.0004714703035723198,-0.0002505163090189224,0.00015028759574216324,0.7589112950880592,0.0006938327633822977,0.052165730096501904,0.0001483390508818659,0.5345023799748485,0.0038522456721578877,1.2676112480111679,0.0006400752692538197,0.8992420175284388,0.0007620399215977715,0.6408741232480191,0.00042330958688461417,2.6202672357257666,0.0018894442242596823
6,3,2,0.5,0.08287845,200,0.8332699010649119,0.0004893333811384864,-0.0006008047084260218,0.0002532643276080185,0.7583400045199968,0.0007154250065940492,0.05229101893350932,0.00015181041916116774,0.5326003002549082,0.003813510518800839,1.2676549892154896,0.0006649207607880102,0.8987178211057444,0.000763649599456106,0.6406084807602273,0.0004237578620761106,2.619162541936544,0.001935385935638748
6,3,2,0.5,0.08315138,200,0.83326535915581,0.0004893722274237003,-0.0006053466175278604,0.00025384623454643594,0.7583319713827993,0.0007155090726596145,0.052292629247243365,0.00015182294243557622,0.532584401814892,0.0038139562918749026,1.2676544244067756,0.0006652188941012873,0.8987130217829421,0.0007637562601751971,0.6406059679873488,0.00042381809133493746,2.6191472866565264,0.001935409775405335
6,3,2,0.5,0.12472707,200,0.8326249000470657,0.0005058865624293377,-0.0012458057262721804,0.0003430070046212641,0.7573019331651867,0.0007410874602382867,0.052512764807169966,0.00015730990469678093,0.5297208774073531,0.003889872227336353,1.2677563455745398,0.0007164753099764164,0.8979768052085236,0.0007835623420343928,0.6402244706469722,0.00043521164563773584,2.6170232932294595,0.0019715452827867965
6,3,2,0.5,0.16630276,200,0.8318044034705083,0.0005218722778720925,-0.0020663023028295994,0.0004143168993441535,0.755862598599401,0.0007556777729365987,0.05282219630558964,0.00016107722272313253,0.5262594861205063,0.004001755833595085,1.2678347589372003,0.000792999604524526,0.8969007470538376,0.0007876374401796834,0.6396620594340287,0.0004369361093999374,2.6143759029590354,0.002019343968917776
6,3,2,0.5,0.20787845,200,0.8305167519402817,0.0005281841213545839,-0.0033539538330561998,0.00047726969345465904,0.7539971717192282,0.000770779393242386,0.05322290357348468,0.00016542264742187574,0.5227439434273805,0.00407332364517758,1.2677216947594407,0.0008372573931183961,0.8954335948431553,0.0007753323043766651,0.6388620743226083,0.00043111609461843895,2.6101385656612344,0.00204543166836034
6,3,2,0.5,0.24863535,200,0.8290639335773995,0.000542724618068089,-0.00480677219593838,0.0005284200756093055,0.7518725890957182,0.0007878385901958323,0.05368555062617774,0.00017123015028002383,0.5209335995341989,0.004179631016561178,1.2681634283840024,0.0008848627884943723,0.8936860134686972,0.0007858256833674208,0.6379126888269103,0.00043699033710388463,2.6054044922986286,0.002100275132150472
6,3,2,0.5,0.24945414,200,0.8289969863803944,0.000543674545137565,-0.004873719392943461,0.0005299581972065629,0.7517722977665278,0.0007870468637055608,0.053707336270549695,0.00017102357988956577,0.5208820701680963,0.004180902972608799,1.2679041340606876,0.000883145205594724,0.8937422781615488,0.00078661083758796,0.6379407988284551,0.00043743995905943503,2.6051144833222515,0.002105392405556315
6,3,2,0.5,0.29102983,200,0.8278347622300447,0.0005449080102506664,-0.006035943543293072,0.0005668020489091231,0.7499971525582073,0.0007789186250028828,0.05409873811297484,0.00017129415739198004,0.5186716659199037,0.0041567122450154245,1.2685408565975076,0.0009788382015130457,0.8919454373974935,0.0008351570462184859,0.6369727999824594,0.0004621940130197495,2.601535834554615,0.0021374842807093393
