U,W,mean_r,stderr_r,n_r_values,n_realizations_used,n_realizations_total,n_levels_min,n_levels_max,zero_gap_fraction,duplicate_levels_removed,L,Nup,Ndown,N,nmax,boundary,file
0.5,0.25,0.5190258610268552,0.0005753845636371087,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_0p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U0.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
1.5,0.25,0.5217262147908263,0.000573087862326679,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_1p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U1.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
2.5,0.25,0.5238349701461917,0.0005727327418274168,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_2p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U2.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
3.5,0.25,0.5201914745020016,0.0005749397570278776,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_3p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U3.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
4.5,0.25,0.5105113077685454,0.0005811188567807666,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_4p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U4.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
5.0,0.25,0.5092638742254758,0.000583314819300587,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
5.5,0.25,0.5121051666837386,0.0005825568312279194,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_5p5/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U5.5_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
6.0,0.25,0.5131300605477632,0.0005797925572496882,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_6/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U6_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
7.0,0.25,0.5137931206053558,0.0005805636303243834,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_7/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U7_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
8.0,0.25,0.5123033017000438,0.0005820625394093459,198900,300,300,665,665,0.0,0,8,,,8,2,periodic,pbs_bose_validation_L8/data/U_8/W_0p25/L_8/N_8_nmax_2/boundary_periodic/energies_full_U8_L8_N8_nmax2_W0.25_boundaryperiodic_nreal300.txt
