L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,entropy_peak_method,U_S_loess_over_t,loess_span_points_used,loess_dense_points,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,6,3,1.0,0.1,200,41,0.0,1.0,0.023188004968345458,0.023964793285253624,0.022943182748029905,0.025055149815856964,weighted_loess_quadratic,0.2310839826379924,9,1001,0.2310839826379924,0.23955425523230295,0.23821503764366006,0.001339217588642888,True,7,0.231,0.23105119175937772,0.22944500931702883,0.23442889240348533,1.0,0.004983883086456503,0.012500000000000011,True,False,0.225,0.225,0.0,1,False,0.0038241781319176887,5.2609268524035165e-05,72.69019773902707,-0.7082935354128876,-1.1760953640202283,-0.31654525380551946,1.0,0.3406597352516586,500,,0.20786318679103227,8.964254884143404,inconsistent
6,6,3,1.0,0.2,200,41,0.0,1.0,0.046340787235990194,0.04790837538230207,0.045874665752391595,0.050087123812566095,weighted_loess_quadratic,0.2293278839106712,9,1001,0.2293278839106712,0.2357619481948463,0.23753757135263198,0.0017756231577856774,True,7,0.229,0.22932229228068765,0.22718175024764733,0.2412430763618261,1.0,0.014061326114178763,0.012500000000000011,True,False,0.225,0.25,0.024999999999999994,2,False,0.002631138074946945,8.354484284579255e-05,31.49372223733201,-0.6938959333096228,-0.9504853896722019,-0.25824758892921235,1.0,1.814782235450219,500,,0.18298150504469746,3.9486058817444163,inconsistent
6,6,3,1.0,0.3,200,41,0.0,1.0,0.06942371543602598,0.07177609429335371,0.06872671631646048,0.07504991614956351,weighted_loess_quadratic,0.22357984745165102,9,1001,0.22357984745165102,0.22259530920399212,0.22193807066705665,0.0006572385369354727,True,7,0.224,0.22358967698144905,0.21830430706599277,0.22701627781429143,1.0,0.008711970748298659,0.012500000000000011,True,False,0.225,0.225,0.0,1,False,0.0012149005551481385,9.099881154746413e-05,13.350729910516003,-0.3339668479341311,-0.5765451371029445,-0.1626450131301282,1.0,10.098630567628906,500,,0.15416596154542306,2.2206527060264754,inconsistent
6,6,3,1.0,0.4,200,41,0.0,1.0,0.09240448945802977,0.09553906572743674,0.09145846995183789,0.09991487819275413,weighted_loess_quadratic,0.18877937926249033,9,1001,0.18877937926249033,0.1862144700096096,0.18551900402679217,0.0006954659828174448,True,7,0.189,0.1884878052160141,0.17044180579897386,0.20079490571194655,1.0,0.030353099912972692,0.012500000000000011,True,False,0.175,0.2,0.025000000000000022,2,False,0.0004016644301182071,8.26976961718198e-05,4.857020796367467,-0.024030330057638105,-0.3074383249683646,-0.040196809293093196,1.0,76.30141273985072,500,,0.09608331575798433,1.039812203081599,inconsistent
6,6,3,1.0,0.5,200,41,0.0,1.0,0.11525298846348168,0.1191555027550453,0.11406771718497051,0.12464590733450086,weighted_loess_quadratic,0.12956724268309724,9,1001,0.12956724268309724,0.12484077441255707,0.12354809415487487,0.0012926802576821994,True,7,0.13,,0.09903529854142516,0.15205959072408687,0.7535,0.053024292182661706,0.012500000000000011,False,False,0.0,0.15,0.15,4,True,2.118013406949837e-05,6.586358232425288e-05,0.32157579837104044,-0.0362256766862406,-0.30434971962621626,-0.019163949097749038,0.7535,17406.273053469264,500,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,0.6,200,41,0.0,1.0,0.13794232340613888,0.14261740223716413,0.13651489764311817,0.14923281517713025,weighted_loess_quadratic,0.06821418443228762,9,1001,0.06821418443228762,0.08220258471961876,0.07362903004802858,0.008573554671590183,True,7,0.068,,0.019850111622835495,0.10934282102347856,0.8895,0.08949270940064306,0.012500000000000011,False,False,0.0,0.125,0.125,6,True,1.775413548454896e-07,4.391284529331898e-05,0.004043039198657921,-0.013779630357322806,-0.2567143586350532,-0.008208344291436926,0.8895,110117565.43994401,500,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,0.7,200,41,0.0,1.0,0.16044915092361303,0.16591282316792813,0.15877205464881208,0.17361718995254408,weighted_loess_quadratic,0.020826185644917374,9,1001,0.020826185644917374,0.0214569339318731,0.01925601832550356,0.002200915606369539,True,7,0.021,,0.002510868673266679,0.05287635716230071,0.7655,0.050365488489034035,0.012500000000000011,False,False,0.0,0.05,0.05,3,True,-8.984655138433161e-08,2.4517211243448802e-05,-0.003664631776109501,-0.034449398150753,-0.057314452797801695,-0.020368691459849438,0.7655,,500,plateau_includes_U0;low_peak_significance,,,unresolved
6,6,3,1.0,0.8,200,41,0.0,1.0,0.18275377189192954,0.18897429611561684,0.18081298944028593,0.19785281976507157,weighted_loess_quadratic,0.018446000337185044,9,1001,0.018446000337185044,0.01300119309094638,0.015907500606385166,0.0029063075154387857,True,7,0.018000000000000002,,0.0022650110792895094,0.04608285233490443,0.813,0.04381784125561492,0.012500000000000011,False,False,0.0,0.05,0.05,3,True,1.4967503462132159e-06,2.1638329358441306e-05,0.06917125261471815,-0.04560706010334985,-0.07052906205833728,-0.030095060907810334,0.813,376202.10772782355,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,3,1.0,0.9,200,41,0.0,1.0,0.20484031329919256,0.21178840883050076,0.20268432989727095,0.22186361947786426,weighted_loess_quadratic,0.0001746253598294545,9,1001,0.0001746253598294545,0.0,0.004287817504070646,0.004287817504070646,False,7,0.0,,0.001195366300641092,0.03779312595766936,0.4885,0.036597759657028266,0.012500000000000011,False,True,0.0,0.025,0.025,2,True,0.0,0.0,,-0.037987649086744735,-0.06535765495782654,-0.030132423628817302,0.4885,,500,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,6,3,1.0,1.0,200,41,0.0,1.0,0.22669643847214155,0.2344256518591329,0.2242336583460586,0.24567997241001516,weighted_loess_quadratic,0.0,9,1001,0.0,0.008946338953361676,0.0,0.008946338953361676,False,7,0.0,,0.0008227058700967256,0.029819244353808044,0.2205,0.028996538483711316,0.012500000000000011,False,True,0.0,0.025,0.025,2,True,0.0,0.0,,-0.032347843669410355,-0.06594763623114824,-0.029373166565017022,0.2205,,500,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
6,6,3,1.0,1.1,200,41,0.0,1.0,0.24831318733209576,0.25684803776707926,0.2454555529517506,0.2692696341285951,weighted_loess_quadratic,0.03179460611643296,9,1001,0.03179460611643296,0.020560019127985413,0.033615351233490506,0.013055332105505094,True,7,0.032,,0.004967216081315841,0.05418620198065379,0.944,0.04921898589933795,0.012500000000000011,False,False,0.0,0.05,0.05,3,True,3.7151223228720777e-06,2.811354508819457e-05,0.13214705976131522,-0.052606276162707834,-0.07786835091297567,-0.030449755550001553,0.944,103075.98552255327,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
