L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
6,6,3,1.0,0.1,200,41,weighted_loess_quadratic,0.2310839826379924,0.231,0.23955425523230295,0.23821503764366006,0.2310839826379924,0.23105119175937772,0.22944500931702883,0.23442889240348533,1.0,0.004983883086456503,0.012500000000000011,True,False,0.225,0.225,0.0038241781319176887,5.2609268524035165e-05,72.69019773902707,-0.7082935354128876,
6,6,3,1.0,0.2,200,41,weighted_loess_quadratic,0.2293278839106712,0.229,0.2357619481948463,0.23753757135263198,0.2293278839106712,0.22932229228068765,0.22718175024764733,0.2412430763618261,1.0,0.014061326114178763,0.012500000000000011,True,False,0.225,0.25,0.002631138074946945,8.354484284579255e-05,31.49372223733201,-0.6938959333096228,
6,6,3,1.0,0.3,200,41,weighted_loess_quadratic,0.22357984745165102,0.224,0.22259530920399212,0.22193807066705665,0.22357984745165102,0.22358967698144905,0.21830430706599277,0.22701627781429143,1.0,0.008711970748298659,0.012500000000000011,True,False,0.225,0.225,0.0012149005551481385,9.099881154746413e-05,13.350729910516003,-0.3339668479341311,
6,6,3,1.0,0.4,200,41,weighted_loess_quadratic,0.18877937926249033,0.189,0.1862144700096096,0.18551900402679217,0.18877937926249033,0.1884878052160141,0.17044180579897386,0.20079490571194655,1.0,0.030353099912972692,0.012500000000000011,True,False,0.175,0.2,0.0004016644301182071,8.26976961718198e-05,4.857020796367467,-0.024030330057638105,
6,6,3,1.0,0.5,200,41,weighted_loess_quadratic,0.12956724268309724,0.13,0.12484077441255707,0.12354809415487487,0.12956724268309724,,0.09903529854142516,0.15205959072408687,0.7535,0.053024292182661706,0.012500000000000011,False,False,0.0,0.15,2.118013406949837e-05,6.586358232425288e-05,0.32157579837104044,-0.0362256766862406,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,0.6,200,41,weighted_loess_quadratic,0.06821418443228762,0.068,0.08220258471961876,0.07362903004802858,0.06821418443228762,,0.019850111622835495,0.10934282102347856,0.8895,0.08949270940064306,0.012500000000000011,False,False,0.0,0.125,1.775413548454896e-07,4.391284529331898e-05,0.004043039198657921,-0.013779630357322806,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,0.7,200,41,weighted_loess_quadratic,0.020826185644917374,0.021,0.0214569339318731,0.01925601832550356,0.020826185644917374,,0.002510868673266679,0.05287635716230071,0.7655,0.050365488489034035,0.012500000000000011,False,False,0.0,0.05,-8.984655138433161e-08,2.4517211243448802e-05,-0.003664631776109501,-0.034449398150753,plateau_includes_U0;low_peak_significance
6,6,3,1.0,0.8,200,41,weighted_loess_quadratic,0.018446000337185044,0.018000000000000002,0.01300119309094638,0.015907500606385166,0.018446000337185044,,0.0022650110792895094,0.04608285233490443,0.813,0.04381784125561492,0.012500000000000011,False,False,0.0,0.05,1.4967503462132159e-06,2.1638329358441306e-05,0.06917125261471815,-0.04560706010334985,plateau_includes_U0;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,0.9,200,41,weighted_loess_quadratic,0.0001746253598294545,0.0,0.0,0.004287817504070646,0.0001746253598294545,,0.001195366300641092,0.03779312595766936,0.4885,0.036597759657028266,0.012500000000000011,False,True,0.0,0.025,0.0,0.0,,-0.037987649086744735,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,1.0,200,41,weighted_loess_quadratic,0.0,0.0,0.008946338953361676,0.0,0.0,,0.0008227058700967256,0.029819244353808044,0.2205,0.028996538483711316,0.012500000000000011,False,True,0.0,0.025,0.0,0.0,,-0.032347843669410355,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,1.1,200,41,weighted_loess_quadratic,0.03179460611643296,0.032,0.020560019127985413,0.033615351233490506,0.03179460611643296,,0.004967216081315841,0.05418620198065379,0.944,0.04921898589933795,0.012500000000000011,False,False,0.0,0.05,3.7151223228720777e-06,2.811354508819457e-05,0.13214705976131522,-0.052606276162707834,plateau_includes_U0;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,1.2,200,41,weighted_loess_quadratic,0.020257435747483194,0.02,0.02006530465001127,0.02223553791906076,0.020257435747483194,,0.002412151046076207,0.04825836081584214,0.8,0.04584620976976593,0.012500000000000011,False,False,0.0,0.025,1.5403746701313504e-05,3.062777179597012e-05,0.502933964766587,-0.05151201561000839,plateau_includes_U0;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,1.3,200,41,weighted_loess_quadratic,0.015054835730644683,0.015,0.0,0.016504178295332104,0.015054835730644683,,0.002301556993177307,0.04542600380175063,0.71,0.04312444680857332,0.012500000000000011,False,False,0.0,0.05,-3.299066258808825e-05,3.195355682511259e-05,-1.0324566610425223,-0.046636007590334295,plateau_includes_U0;low_peak_significance
6,6,3,1.0,1.4,200,41,weighted_loess_quadratic,0.0,0.0,0.0,0.0038331734697310098,0.0,,0.0016077744128101834,0.03721276813691742,0.417,0.03560499372410724,0.012500000000000011,False,True,0.0,0.025,0.0,0.0,,-0.03806008647375136,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,1.5,200,41,weighted_loess_quadratic,0.013153082207939539,0.013000000000000001,0.00919741449221513,0.015889180342460552,0.013153082207939539,,0.002021252641541278,0.04407050579763754,0.71,0.04204925315609626,0.012500000000000011,False,False,0.0,0.025,-6.779170023042402e-06,4.1438677580872926e-05,-0.1635952308036852,-0.06433259159771648,plateau_includes_U0;low_peak_significance
6,6,3,1.0,1.6,200,41,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,0.001324063762827608,0.053235503807875686,0.334,0.05191144004504808,0.012500000000000011,False,True,0.0,0.0,0.0,0.0,,-0.028313682787880063,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,1.7,200,41,weighted_loess_quadratic,0.0,0.0,0.0,0.0,0.0,,0.0016022502710926012,0.05990730716426595,0.4515,0.05830505689317335,0.012500000000000011,False,True,0.0,0.05,0.0,0.0,,-0.03943645528138769,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,1.8,200,41,weighted_loess_quadratic,0.025332749701591495,0.025,0.036030866481978494,0.022281844201023686,0.025332749701591495,,0.0035401164979512196,0.0948309119284461,0.698,0.09129079543049488,0.012500000000000011,False,False,0.0,0.075,2.4626835421127646e-05,6.043055768121774e-05,0.4075228885200549,-0.04517124562781926,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,1.9,200,41,weighted_loess_quadratic,0.04466043163445434,0.045,0.055618869303845436,0.04460553677114975,0.04466043163445434,,0.009058289105952945,0.07566047083276095,0.954,0.06660218172680801,0.012500000000000011,False,False,0.0,0.1,1.7994112546129704e-05,9.865621033422147e-05,0.18239209153858993,-0.0926889203820828,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,2.0,200,41,weighted_loess_quadratic,0.009049844883931834,0.009000000000000001,0.013277351372787422,0.010605696399473907,0.009049844883931834,,0.002120538279963874,0.07954960506331676,0.5665,0.07742906678335289,0.012500000000000011,False,False,0.0,0.075,0.0,0.0,,-0.04781950293629494,plateau_includes_U0;wide_plateau;low_peak_significance
6,6,3,1.0,2.1,200,41,weighted_loess_quadratic,0.0,0.0,0.019657239193987423,0.0020255634047752907,0.0,,0.0025028941385511236,0.11723633259604177,0.406,0.11473343845749065,0.012500000000000011,False,True,0.0,0.125,0.0,0.0,,-0.03281713439674593,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction
6,6,3,1.0,2.2,200,41,weighted_loess_quadratic,0.0069130993066293805,0.007,0.025724790521911345,0.019168067469962104,0.0069130993066293805,,0.006772568704888169,0.1451278071122983,0.555,0.13835523840741012,0.012500000000000011,False,False,0.0,0.125,0.0,0.0,,-0.023375614206899084,plateau_includes_U0;wide_plateau;low_peak_significance
6,6,3,1.0,2.3,200,41,weighted_loess_quadratic,0.053877903016680856,0.054,0.06049423042021243,0.05321041536168921,0.053877903016680856,,0.00881977614595627,0.13276961137449464,0.837,0.12394983522853836,0.012500000000000011,False,False,0.0,0.15,5.266658681508718e-05,0.00013259764770823866,0.3971909587036728,-0.06040388503789032,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,2.4,200,41,weighted_loess_quadratic,0.09007760366967657,0.09,0.07868138324129101,0.07683695240889711,0.09007760366967657,,0.014063360160448757,0.15285173035212696,0.8385,0.1387883701916782,0.012500000000000011,False,False,0.0,0.125,8.089347946310665e-05,0.00022769494453520552,0.35527130226028864,-0.02749334801688285,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded
6,6,3,1.0,2.5,200,41,weighted_loess_quadratic,0.05560981623578418,0.056,0.0847364983549666,0.05391564834439939,0.05560981623578418,,0.010160192883399874,0.1367166342880788,0.7865,0.12655644140467892,0.012500000000000011,False,False,0.0,0.175,-2.7347259101241917e-05,0.00015653624362817656,-0.17470241055611613,-0.05508455429562487,plateau_includes_U0;wide_plateau;low_peak_significance
6,6,4,1.0,0.1,200,41,weighted_loess_quadratic,0.12610818181628375,0.126,0.132158322633806,0.13933270137443515,0.12610818181628375,0.1261052602272848,0.12538448220690168,0.12695636945690278,1.0,0.0015718872500010972,0.012500000000000011,True,False,0.125,0.125,0.002586606562309658,6.529542642635952e-05,39.61390106283852,-1.3170622778840204,
6,6,4,1.0,0.2,200,41,weighted_loess_quadratic,0.1489018020532649,0.149,0.14579645080741588,0.15338695681403844,0.1489018020532649,0.14907619500847832,0.13779693526029052,0.161565766708626,1.0,0.02376883144833547,0.012500000000000011,True,False,0.125,0.15,0.0011416018033753234,7.597428690331128e-05,15.026160164269573,-0.1478624968488873,
6,6,4,1.0,0.3,200,41,weighted_loess_quadratic,0.1656336153243412,0.166,0.16437607799805296,0.16382725098981718,0.1656336153243412,0.16505038956540125,0.14961383891520516,0.18428198378895164,1.0,0.034668144873746476,0.012500000000000011,True,False,0.15,0.175,0.0007138491891033322,6.687144640711939e-05,10.674947641439577,-0.06234488216086903,
