L,N,nmax,W_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,peak_resolved,unresolved_reasons
7,4,4,0.1,0.075,0.0705639440826243,0.068457440156918,0.068457440156918,0.0685162319227817,0.0653165311387479,0.0718249731647103,True,
7,4,4,0.2,0.25,0.251508447245798,0.2511783253164004,0.2511783253164004,0.2511627675871352,0.247597277538756,0.2545328956940763,True,
7,4,4,0.3,0.25,0.2464426258180268,0.2449670151185164,0.2449670151185164,0.2448899221685675,0.2383238501660916,0.250511724316346,True,
7,4,4,0.4,0.25,0.2447531500675315,0.2444751610179434,0.2444751610179434,0.2444393657588925,0.237193266347881,0.2511422876171031,True,
7,4,4,0.5,0.25,0.2585312529438854,0.2577480297715044,0.2577480297715044,0.2579355941321691,0.2502465718369548,0.2651029632145094,True,
7,4,4,0.6,0.25,0.2616005591748356,0.261729187884849,0.261729187884849,0.26166629914054,0.2554010320707601,0.2693360027096548,True,
7,4,4,0.7,0.275,0.2684827882873911,0.2692483293730684,0.2692483293730684,0.268987542100242,0.2617393482339403,0.2753239527204942,True,
7,4,4,0.8,0.275,0.2791408340621129,0.2788826612819507,0.2788826612819507,0.2787207062179933,0.2725626233366839,0.2849874022532431,True,
7,4,4,0.9,0.3,0.2889600984203994,0.2890838670032604,0.2890838670032604,0.2888197967727141,0.2814208499622317,0.2958146490678125,True,
7,4,4,1.0,0.3,0.2977499037844619,0.2979085620552751,0.2979085620552751,0.2977932666634834,0.2889304108564671,0.3052362329452663,True,
7,4,4,1.1,0.3,0.3105696058466098,0.3101887031917004,0.3101887031917004,0.310120233810697,0.3022055283942081,0.3178772929207909,True,
7,4,4,1.2,0.325,0.3227237311494275,0.3219761153559213,0.3219761153559213,0.3218620450766566,0.3139349519233094,0.3294690854029096,True,
7,4,4,1.3,0.325,0.3293874730221906,0.3296560751720082,0.3296560751720082,0.3295442777558744,0.3197881002145541,0.3393308400689914,True,
