L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
8,4,4,0.5,1.0,0.45849718055994526,4.733753891682936,0.08401205794965926,1000,1000
8,4,4,0.5,2.0,0.45849718055994526,5.273058677823793,0.13411599536040208,1000,1000
8,4,4,0.5,3.0,0.45849718055994526,4.876611860290687,0.1510025137557019,1000,1000
8,4,4,0.5,4.0,0.45849718055994526,3.63530486431789,0.09539170904729216,1000,1000
8,4,4,0.5,5.0,0.45849718055994526,2.947032041494766,0.09669760127644408,1000,1000
8,4,4,0.5,6.0,0.45849718055994526,2.7572004321899106,0.0620471185812441,1000,1000
8,4,4,0.5,7.0,0.45849718055994526,2.628360526615893,0.05182761103265828,1000,1000
8,4,4,0.5,8.0,0.45849718055994526,2.4964332267585236,0.059045965525300156,1000,1000
8,4,4,0.5,9.0,0.45849718055994526,2.2999503528977305,0.07292140637635004,1000,1000
8,4,4,0.5,10.0,0.45849718055994526,2.200693977186607,0.07493897320484806,1000,1000
8,5,4,0.625,1.0,0.45849718055994526,5.487172899700288,0.07828576279392693,1000,1000
8,5,4,0.625,2.0,0.45849718055994526,5.2216579309984015,0.12249528820359852,1000,1000
8,5,4,0.625,3.0,0.45849718055994526,4.705664330019625,0.08914351582931028,1000,1000
8,5,4,0.625,4.0,0.45849718055994526,3.3342844519081,0.14502629571744535,1000,1000
8,5,4,0.625,5.0,0.45849718055994526,2.144495817323848,0.07524214670462787,1000,1000
8,5,4,0.625,6.0,0.45849718055994526,2.115864228082095,0.06083475679097624,1000,1000
8,5,4,0.625,7.0,0.45849718055994526,1.9945791608379058,0.05281222945946569,1000,1000
8,5,4,0.625,8.0,0.45849718055994526,1.9321567363855312,0.060386101443072195,1000,1000
8,5,4,0.625,9.0,0.45849718055994526,1.8869025036480962,0.059901305373643875,1000,1000
8,5,4,0.625,10.0,0.45849718055994526,1.7304744943707608,0.04669549464521573,1000,1000
8,6,4,0.75,1.0,0.45849718055994526,6.059471627943864,0.1138107490453623,1000,1000
8,6,4,0.75,2.0,0.45849718055994526,6.033173813790606,0.11307651367539237,1000,1000
8,6,4,0.75,3.0,0.45849718055994526,4.902601193301197,0.07986864469409616,1000,1000
8,6,4,0.75,4.0,0.45849718055994526,2.7314615817053527,0.06074391130127537,1000,1000
8,6,4,0.75,5.0,0.45849718055994526,1.8222567528510387,0.03822321300243958,1000,1000
8,6,4,0.75,6.0,0.45849718055994526,1.6420860868500178,0.029340798086710366,1000,1000
8,6,4,0.75,7.0,0.45849718055994526,1.489712075894101,0.027538311263864846,1000,1000
8,6,4,0.75,8.0,0.45849718055994526,1.4246374767395162,0.031165214175898907,1000,1000
8,6,4,0.75,9.0,0.45849718055994526,1.2851722099612073,0.031151626770668014,1000,1000
8,6,4,0.75,10.0,0.45849718055994526,1.157903438609542,0.03489508088573268,1000,1000
8,7,4,0.875,1.0,0.45849718055994526,6.347382581053392,0.09879159153179563,1000,1000
8,7,4,0.875,2.0,0.45849718055994526,6.620121045620674,0.09533412625028309,1000,1000
8,7,4,0.875,3.0,0.45849718055994526,5.424927304770862,0.129028507359682,1000,1000
8,7,4,0.875,4.0,0.45849718055994526,2.854103344595609,0.04767824477590758,1000,1000
8,7,4,0.875,5.0,0.45849718055994526,1.5285096521923427,0.029670521960768557,1000,1000
8,7,4,0.875,6.0,0.45849718055994526,1.214915224577191,0.019011816760232596,1000,1000
8,7,4,0.875,7.0,0.45849718055994526,0.9877005218418657,0.027427607308936536,1000,1000
8,7,4,0.875,8.0,0.45849718055994526,0.7728163494382948,0.014267225367993585,1000,1000
8,7,4,0.875,9.0,0.45849718055994526,0.5564914432514415,0.011067616031368018,1000,1000
8,7,4,0.875,10.0,0.45849718055994526,0.3714064948539998,0.009825307717416633,1000,1000
8,8,4,1.0,1.0,0.45849718055994526,7.320893706410745,0.10209748173591886,1000,1000
8,8,4,1.0,2.0,0.45849718055994526,7.348232186875334,0.12573251827175028,1000,1000
8,8,4,1.0,3.0,0.45849718055994526,6.023406786210736,0.11230002665173783,1000,1000
8,8,4,1.0,4.0,0.45849718055994526,3.0085945801504073,0.05872108979664322,1000,1000
8,8,4,1.0,5.0,0.45849718055994526,1.5892655786406147,0.024904766234385003,1000,1000
8,8,4,1.0,6.0,0.45849718055994526,1.214756199199743,0.02133299597056521,1000,1000
8,8,4,1.0,7.0,0.45849718055994526,1.0510716851694553,0.022458789804285343,1000,1000
8,8,4,1.0,8.0,0.45849718055994526,0.7721948046196584,0.020597174762136905,1000,1000
8,8,4,1.0,9.0,0.45849718055994526,0.46150701620282897,0.014453269217140303,1000,1000
8,8,4,1.0,10.0,0.45849718055994526,0.2591058779754304,0.015400738745079528,1000,1000
