L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,6,4,0.75,0.25,fres_l1.0,1.0,0.45682240259755413,1.0,0.0
8,6,4,0.75,0.25,fres_l2.0,1.0,0.8,1.0,0.0
8,7,4,0.875,0.25,onsite_pair_density,1.0,0.9756241636487138,2.0,-1.0
8,7,4,0.875,0.25,onsite_pair_variance,1.0,8.7498488223792,2.0,-1.0
8,7,4,0.875,0.25,charge_fluctuation,1.0,1.08069621221628,2.0,-1.0
8,7,4,0.875,0.25,fock_entropy_normalized,1.0,0.894764968283336,2.0,-1.0
8,7,4,0.875,0.25,pr_normalized,1.0,0.273338158170216,2.0,-1.0
8,7,4,0.875,0.25,Nres_mean_l1.0,1.0,3.5497404580124403,2.0,-1.0
8,7,4,0.875,0.25,Nres_mean_l2.0,1.0,6.26972010178,2.0,-1.0
8,7,4,0.875,0.25,fres_l1.0,1.0,0.43704511278198416,2.0,-1.0
8,7,4,0.875,0.25,fres_l2.0,1.0,0.7719298245609998,2.0,-1.0
8,8,4,1.0,0.25,onsite_pair_density,1.0,1.2622652045008245,2.0,-1.0
8,8,4,1.0,0.25,onsite_pair_variance,1.0,10.287272601177062,2.0,-1.0
8,8,4,1.0,0.25,charge_fluctuation,1.0,1.259101408208817,2.0,-1.0
8,8,4,1.0,0.25,fock_entropy_normalized,1.0,0.9026032801607635,2.0,-1.0
8,8,4,1.0,0.25,pr_normalized,1.0,0.2779124177491864,2.0,-1.0
8,8,4,1.0,0.25,Nres_mean_l1.0,1.0,3.702601266759355,2.0,-1.0
8,8,4,1.0,0.25,Nres_mean_l2.0,1.0,6.522739726029998,2.0,-1.0
8,8,4,1.0,0.25,fres_l1.0,1.0,0.4257338276099677,2.0,-1.0
8,8,4,1.0,0.25,fres_l2.0,1.0,0.75,2.0,-1.0
8,4,4,0.5,0.5,onsite_pair_density,1.0,0.28432929791627,2.0,-1.0
8,4,4,0.5,0.5,onsite_pair_variance,1.0,2.80860471315092,2.0,-1.0
8,4,4,0.5,0.5,charge_fluctuation,1.0,0.526267733798742,2.0,-1.0
8,4,4,0.5,0.5,fock_entropy_normalized,1.0,0.8559199233740239,2.0,-1.0
8,4,4,0.5,0.5,pr_normalized,1.0,0.28710574917133397,2.0,-1.0
8,4,4,0.5,0.5,Nres_mean_l1.0,1.0,3.2544969696958397,2.0,-1.0
8,4,4,0.5,0.5,Nres_mean_l2.0,1.0,5.1733212121203795,2.0,-1.0
8,4,4,0.5,0.5,fres_l1.0,1.0,0.559366666666682,2.0,-1.0
8,4,4,0.5,0.5,fres_l2.0,1.0,0.889164583333,2.0,-1.0
8,5,4,0.625,0.5,onsite_pair_density,1.0,0.48562370089223394,1.0,0.0
8,5,4,0.625,0.5,onsite_pair_variance,1.0,4.732787360915579,1.0,0.0
8,5,4,0.625,0.5,charge_fluctuation,1.0,0.7137994750298621,1.0,0.0
8,5,4,0.625,0.5,fock_entropy_normalized,1.0,0.872943546702326,1.0,0.0
8,5,4,0.625,0.5,pr_normalized,1.0,0.27805800589614604,1.0,0.0
8,5,4,0.625,0.5,Nres_mean_l1.0,1.0,3.41796938775598,1.0,0.0
8,5,4,0.625,0.5,Nres_mean_l2.0,1.0,5.6530867346955,1.0,0.0
8,5,4,0.625,0.5,fres_l1.0,1.0,0.5106112804878661,1.0,0.0
8,5,4,0.625,0.5,fres_l2.0,1.0,0.8445160060976961,1.0,0.0
8,6,4,0.75,0.5,onsite_pair_density,1.0,0.714331182518,1.0,0.0
8,6,4,0.75,0.5,onsite_pair_variance,1.0,6.76928503846048,1.0,0.0
8,6,4,0.75,0.5,charge_fluctuation,1.0,0.8959891153670619,1.0,0.0
8,6,4,0.75,0.5,fock_entropy_normalized,1.0,0.884884367844742,1.0,0.0
8,6,4,0.75,0.5,pr_normalized,1.0,0.272679300082956,1.0,0.0
8,6,4,0.75,0.5,Nres_mean_l1.0,1.0,3.55894673123552,1.0,0.0
8,6,4,0.75,0.5,Nres_mean_l2.0,1.0,6.0434576271166405,1.0,0.0
8,6,4,0.75,0.5,fres_l1.0,1.0,0.47722240259743204,1.0,0.0
8,6,4,0.75,0.5,fres_l2.0,1.0,0.8103727272727979,1.0,0.0
8,7,4,0.875,0.5,onsite_pair_density,1.0,0.9765843039301421,2.0,-1.0
8,7,4,0.875,0.5,onsite_pair_variance,1.0,8.8476380854303,2.0,-1.0
8,7,4,0.875,0.5,charge_fluctuation,1.0,1.08132562069552,2.0,-1.0
8,7,4,0.875,0.5,fock_entropy_normalized,1.0,0.894503904070358,2.0,-1.0
8,7,4,0.875,0.5,pr_normalized,1.0,0.27265378140211,2.0,-1.0
8,7,4,0.875,0.5,Nres_mean_l1.0,1.0,3.67086513994702,2.0,-1.0
8,7,4,0.875,0.5,Nres_mean_l2.0,1.0,6.361155216285081,2.0,-1.0
8,7,4,0.875,0.5,fres_l1.0,1.0,0.451958020050218,2.0,-1.0
8,7,4,0.875,0.5,fres_l2.0,1.0,0.7831873433583061,2.0,-1.0
8,8,4,1.0,0.5,onsite_pair_density,1.0,1.262132958611915,2.0,-1.0
8,8,4,1.0,0.5,onsite_pair_variance,1.0,10.391262032712767,2.0,-1.0
8,8,4,1.0,0.5,charge_fluctuation,1.0,1.2585034585294679,2.0,-1.0
8,8,4,1.0,0.5,fock_entropy_normalized,1.0,0.9023146734017303,2.0,-1.0
8,8,4,1.0,0.5,pr_normalized,1.0,0.27695200666119146,2.0,-1.0
8,8,4,1.0,0.5,Nres_mean_l1.0,1.0,3.8008277470134404,2.0,-1.0
8,8,4,1.0,0.5,Nres_mean_l2.0,1.0,6.643715146216561,2.0,-1.0
8,8,4,1.0,0.5,fres_l1.0,1.0,0.437028140013727,2.0,-1.0
8,8,4,1.0,0.5,fres_l2.0,1.0,0.7639100391786133,2.0,-1.0
8,4,4,0.5,0.75,onsite_pair_density,1.0,0.285962600577858,2.0,-1.0
8,4,4,0.5,0.75,onsite_pair_variance,1.0,2.9150104094134606,2.0,-1.0
8,4,4,0.5,0.75,charge_fluctuation,1.0,0.527859621894434,2.0,-1.0
8,4,4,0.5,0.75,fock_entropy_normalized,1.0,0.856578493508608,2.0,-1.0
8,4,4,0.5,0.75,pr_normalized,1.0,0.288130834533522,2.0,-1.0
8,4,4,0.5,0.75,Nres_mean_l1.0,1.0,3.1508606060601,2.0,-1.0
8,4,4,0.5,0.75,Nres_mean_l2.0,1.0,5.06706666666652,2.0,-1.0
8,4,4,0.5,0.75,fres_l1.0,1.0,0.541554166666682,2.0,-1.0
8,4,4,0.5,0.75,fres_l2.0,1.0,0.870902083333,2.0,-1.0
8,5,4,0.625,0.75,onsite_pair_density,1.0,0.48526541481521995,1.0,0.0
8,5,4,0.625,0.75,onsite_pair_variance,1.0,4.8353607664197,1.0,0.0
8,5,4,0.625,0.75,charge_fluctuation,1.0,0.71268617433134,1.0,0.0
8,5,4,0.625,0.75,fock_entropy_normalized,1.0,0.8723212141798599,1.0,0.0
8,5,4,0.625,0.75,pr_normalized,1.0,0.276212472929664,1.0,0.0
8,5,4,0.625,0.75,Nres_mean_l1.0,1.0,3.3666020408164,1.0,0.0
8,5,4,0.625,0.75,Nres_mean_l2.0,1.0,5.54422959183714,1.0,0.0
8,5,4,0.625,0.75,fres_l1.0,1.0,0.502937499999964,1.0,0.0
8,5,4,0.625,0.75,fres_l2.0,1.0,0.82825381097564,1.0,0.0
8,6,4,0.75,0.75,onsite_pair_density,1.0,0.715232681256352,1.0,0.0
8,6,4,0.75,0.75,onsite_pair_variance,1.0,6.93536327401012,1.0,0.0
8,6,4,0.75,0.75,charge_fluctuation,1.0,0.89635007085406,1.0,0.0
8,6,4,0.75,0.75,fock_entropy_normalized,1.0,0.8842095300830161,1.0,0.0
8,6,4,0.75,0.75,pr_normalized,1.0,0.27079258639954606,1.0,0.0
8,6,4,0.75,0.75,Nres_mean_l1.0,1.0,3.4749055690076203,1.0,0.0
8,6,4,0.75,0.75,Nres_mean_l2.0,1.0,5.94688135593088,1.0,0.0
8,6,4,0.75,0.75,fres_l1.0,1.0,0.46595324675331,1.0,0.0
8,6,4,0.75,0.75,fres_l2.0,1.0,0.797422727272738,1.0,0.0
8,7,4,0.875,0.75,onsite_pair_density,1.0,0.977903071788122,2.0,-1.0
8,7,4,0.875,0.75,onsite_pair_variance,1.0,9.01798256117296,2.0,-1.0
8,7,4,0.875,0.75,charge_fluctuation,1.0,1.08200511614824,2.0,-1.0
8,7,4,0.875,0.75,fock_entropy_normalized,1.0,0.8937474630524,2.0,-1.0
8,7,4,0.875,0.75,pr_normalized,1.0,0.270374336637056,2.0,-1.0
8,7,4,0.875,0.75,Nres_mean_l1.0,1.0,3.6432798982182004,2.0,-1.0
8,7,4,0.875,0.75,Nres_mean_l2.0,1.0,6.27815521628472,2.0,-1.0
8,7,4,0.875,0.75,fres_l1.0,1.0,0.448561716792022,2.0,-1.0
8,7,4,0.875,0.75,fres_l2.0,1.0,0.7729683583959019,2.0,-1.0
8,8,4,1.0,0.75,onsite_pair_density,1.0,1.26182191982361,2.0,-1.0
8,8,4,1.0,0.75,onsite_pair_variance,1.0,10.550406758264259,2.0,-1.0
8,8,4,1.0,0.75,charge_fluctuation,1.0,1.2574681389592057,2.0,-1.0
8,8,4,1.0,0.75,fock_entropy_normalized,1.0,0.9016826688947943,2.0,-1.0
8,8,4,1.0,0.75,pr_normalized,1.0,0.27474812594490977,2.0,-1.0
8,8,4,1.0,0.75,Nres_mean_l1.0,1.0,3.789470352603466,2.0,-1.0
8,8,4,1.0,0.75,Nres_mean_l2.0,1.0,6.576671776865271,2.0,-1.0
8,8,4,1.0,0.75,fres_l1.0,1.0,0.4357222400139495,2.0,-1.0
8,8,4,1.0,0.75,fres_l2.0,1.0,0.756201234424083,2.0,-1.0
8,4,4,0.5,1.0,onsite_pair_density,1.0,0.2872417860928733,2.0,-1.0
8,4,4,0.5,1.0,onsite_pair_variance,1.0,3.0136582545390667,2.0,-1.0
8,4,4,0.5,1.0,charge_fluctuation,1.0,0.5285666442948267,2.0,-1.0
