L,nmax,W,U_cross,n_U
9,2,1.0,nan,10
9,2,2.0,nan,10
9,2,3.0,nan,10
9,2,4.0,nan,10
9,2,5.0,nan,10
9,2,6.0,nan,10
9,2,7.0,nan,10
9,2,8.0,nan,10
9,2,9.0,nan,10
9,2,10.0,nan,10
