L,nmax,c_cross_slope,b_cross_intercept,r2,n_W
6,2,nan,nan,nan,0
6,3,0.9709550117153289,3.814234479272923,0.9957927296733119,6
6,4,0.2910810049950885,2.5789924726734434,0.9918079524080246,15
6,5,0.19118216564825116,1.7414901749770146,0.9972614028203656,15
