L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
6,3,2,1.0,1.0,0.1655994449821365,0.925913885786912,10
6,3,2,2.0,1.0,0.16712276604946677,0.9304456722458215,10
6,3,2,3.0,1.0,0.16750219954836112,0.9426613966451725,10
6,3,2,4.0,1.0,0.1624640415664551,0.9533430101441159,10
6,3,2,5.0,1.0,0.15663535812181917,0.9632297824665625,10
6,3,2,6.0,1.0,0.15101536297875412,0.971798321591189,10
6,3,2,7.0,1.0,0.12660013492099784,0.9792500585909045,10
6,3,2,8.0,1.0,0.11137722989821097,0.9824625196751311,10
6,3,2,9.0,1.0,0.13255559100703662,0.9804008698208064,10
6,3,2,10.0,1.0,0.08862549000646262,0.9876094201695629,10
6,3,2,11.0,1.0,0.11221907278283816,0.9811699616703372,10
6,3,2,12.0,1.0,0.07507597176214102,0.9895500656134713,10
6,3,2,13.0,1.0,0.09879078810104586,0.9748381389153765,10
6,3,2,14.0,1.0,0.17765359898905597,0.9653286528595731,10
6,3,2,15.0,1.0,0.20045716432189054,0.9669099468398834,10
6,3,3,1.0,1.0,0.1594263766727019,0.9302149952638114,10
6,3,3,2.0,1.0,0.16852215274707916,0.9274411296422066,10
6,3,3,3.0,1.0,0.16245307013956137,0.9409995761040845,10
6,3,3,4.0,1.0,0.15214819506781863,0.9564720175202169,10
6,3,3,5.0,1.0,0.13240638809162372,0.9707509620568,10
6,3,3,6.0,1.0,0.1198527268604008,0.9779270608931567,10
6,3,3,7.0,1.0,0.11633507391505418,0.9820913352514717,10
6,3,3,8.0,1.0,0.14079400516870458,0.9771059733455731,10
6,3,3,9.0,1.0,0.12907469935986887,0.9791309498968399,10
6,3,3,10.0,1.0,0.12044021346552902,0.9808023998361641,10
6,3,3,11.0,1.0,0.1464213386377915,0.9746274249382547,10
6,3,3,12.0,1.0,0.12262182416990214,0.9774884739521734,10
6,3,3,13.0,1.0,0.07200784752834244,0.9915745360663848,10
6,3,3,14.0,1.0,0.16486218151535342,0.9667502552419557,10
6,3,3,15.0,1.0,0.12323890754896409,0.979859184688644,10
6,3,4,1.0,1.0,0.15782242402659868,0.9302902950333654,10
6,3,4,2.0,1.0,0.17069722182894354,0.9266592885605293,10
6,3,4,3.0,1.0,0.16074059804538623,0.9422198049152352,10
6,3,4,4.0,1.0,0.15596105187618678,0.9538940874811809,10
6,3,4,5.0,1.0,0.14072122092561573,0.9668375015154169,10
6,3,4,6.0,1.0,0.13103882854182922,0.9741564247606173,10
6,3,4,7.0,1.0,0.10767955944568307,0.9839270146642137,10
6,3,4,8.0,1.0,0.12146710632702042,0.9819967095903334,10
6,3,4,9.0,1.0,0.12528304736412813,0.9793383256161464,10
6,3,4,10.0,1.0,0.08986799961604144,0.9862553385720078,10
6,3,4,11.0,1.0,0.1263513470046278,0.9828414510513566,10
6,3,4,12.0,1.0,0.12643199595656548,0.9799024632469375,10
6,3,4,13.0,1.0,0.16467234391941277,0.9711521559195875,10
6,3,4,14.0,1.0,0.15450415016413954,0.9721678985109766,10
6,3,4,15.0,1.0,0.19002586670353258,0.9649317449739818,10
6,3,5,1.0,1.0,0.15694199420057284,0.9311053648198047,10
6,3,5,2.0,1.0,0.16977465548068002,0.9262008178526613,10
6,3,5,3.0,1.0,0.1627954181698936,0.9414196422957929,10
6,3,5,4.0,1.0,0.15293272237543595,0.95506872987726,10
6,3,5,5.0,1.0,0.13428884258604476,0.9702975783825682,10
6,3,5,6.0,1.0,0.1409388698945772,0.9724019487839933,10
6,3,5,7.0,1.0,0.11772961518887624,0.9797969119788122,10
6,3,5,8.0,1.0,0.11573126800390919,0.9830192095335976,10
6,3,5,9.0,1.0,0.09187587875912731,0.9846237134902078,10
6,3,5,10.0,1.0,0.0912286414681232,0.987710783378321,10
6,3,5,11.0,1.0,0.10150949206767074,0.9868092354789916,10
6,3,5,12.0,1.0,0.1888465779793244,0.9663404549097618,10
6,3,5,13.0,1.0,0.13185264376760292,0.9750476676374646,10
6,3,5,14.0,1.0,0.12350096863718532,0.9809241450028455,10
6,3,5,15.0,1.0,0.12821386320599065,0.973052518978524,10
6,4,2,1.0,1.0,0.17792486058899207,0.9212259666248254,10
6,4,2,2.0,1.0,0.1732848287303372,0.9323137819606551,10
6,4,2,3.0,1.0,0.15684775574149196,0.9530426982431286,10
6,4,2,4.0,1.0,0.13279578573448383,0.9664964450038057,10
6,4,2,5.0,1.0,0.10960766175965432,0.9810052090468752,10
6,4,2,6.0,1.0,0.11511838542985184,0.9831522978286606,10
6,4,2,7.0,1.0,0.0820441932586854,0.991440492067231,10
6,4,2,8.0,1.0,0.07055577782918206,0.9932992984002735,10
6,4,2,9.0,1.0,0.07580806229077774,0.9938095085766322,10
6,4,2,10.0,1.0,0.058104053808442024,0.9951034811969942,10
6,4,2,11.0,1.0,0.07370042771313547,0.9915356053838733,10
6,4,2,12.0,1.0,0.06506896933534331,0.9942966720166859,10
6,4,2,13.0,1.0,0.04747886035645189,0.9916337697328861,10
6,4,2,14.0,1.0,0.0563519688837121,0.9946218534490754,10
6,4,2,15.0,1.0,0.07757389340649819,0.990935752365705,10
6,4,3,1.0,1.0,0.15715407627414835,0.9336801980399203,10
6,4,3,2.0,1.0,0.16395802805828366,0.9321641969669585,10
6,4,3,3.0,1.0,0.15471370704359297,0.9449563343016434,10
6,4,3,4.0,1.0,0.1529760552466499,0.9569904485917953,10
6,4,3,5.0,1.0,0.13294595559947464,0.9710282691110538,10
6,4,3,6.0,1.0,0.1116782679555017,0.9819534758874471,10
6,4,3,7.0,1.0,0.09417856169243308,0.9875669963090595,10
6,4,3,8.0,1.0,0.09493252309584224,0.9883800692635866,10
6,4,3,9.0,1.0,0.07874515347335653,0.9921934909549867,10
6,4,3,10.0,1.0,0.05261194286566865,0.9962703593235099,10
6,4,3,11.0,1.0,0.07290106490242913,0.993669529440661,10
6,4,3,12.0,1.0,0.06424240756945146,0.9945805419616377,10
6,4,3,13.0,1.0,0.07769283035749791,0.993569445378851,10
6,4,3,14.0,1.0,0.11379057266409671,0.9871415998588321,10
6,4,3,15.0,1.0,0.06864813117718223,0.9922122782773195,10
6,4,4,1.0,1.0,0.14789390297897895,0.939721257983207,10
6,4,4,2.0,1.0,0.15492579783756436,0.9372433618991765,10
6,4,4,3.0,1.0,0.14867638985500756,0.9499219969572678,10
6,4,4,4.0,1.0,0.14301960731843208,0.9596667844257698,10
6,4,4,5.0,1.0,0.12638208259302683,0.972691509493972,10
6,4,4,6.0,1.0,0.11138575852488625,0.9807274365558694,10
6,4,4,7.0,1.0,0.1057045501265097,0.9831272079188192,10
6,4,4,8.0,1.0,0.09111035822634558,0.9876869286121582,10
6,4,4,9.0,1.0,0.07215689158283954,0.9914942269662452,10
6,4,4,10.0,1.0,0.08077910880024364,0.9910154286511299,10
6,4,4,11.0,1.0,0.0521456465783109,0.9946083894889998,10
6,4,4,12.0,1.0,0.06922504656115727,0.9923735210523242,10
6,4,4,13.0,1.0,0.058810498974183834,0.9934751753411049,10
6,4,4,14.0,1.0,0.12980251963905637,0.9812167691317608,10
6,4,4,15.0,1.0,0.09918555613161263,0.9887021282485748,10
6,4,5,1.0,1.0,0.1484087083232641,0.9396670548637397,10
6,4,5,2.0,1.0,0.1544639100011797,0.9369420357138708,10
6,4,5,3.0,1.0,0.1532242980434583,0.946454889998808,10
6,4,5,4.0,1.0,0.14449656922660628,0.9589278960358695,10
