L,N,nmax,c_half_slope,b_half_intercept,r2,n_W
6,3,2,0.2997083407013679,2.9357482568406934,0.9400410597851505,15
6,3,3,0.25908088497115317,2.7234707440393544,0.9577623348965649,15
6,3,4,0.26778068278652395,2.689401012052984,0.9793023381652552,15
6,3,5,0.2566539276448935,2.7427433834905366,0.9617191026453372,15
6,4,2,0.24529514829920257,2.972557701054624,0.917270834649468,15
6,4,3,0.20462664189573235,2.7484149788177454,0.9732565618878211,15
6,4,4,0.19483612355776142,2.6954941046627736,0.9652470636973357,15
6,4,5,0.20576479336403616,2.649159872600005,0.9772096617930989,15
6,5,2,0.21015574707405282,3.8360403933902343,0.8806097729885943,15
6,5,3,0.18830056241990212,3.015154460441937,0.9785782625552736,15
6,5,4,0.16216299928466732,2.8294268840409753,0.9769134405501084,15
6,5,5,0.14388360430751915,2.842248750661361,0.9744869080346478,15
6,6,2,0.22508773810938754,3.752275777531032,0.9207426226751916,15
6,6,3,0.16262615687278795,3.322841897588517,0.9726821946536035,15
6,6,4,0.1270978864114021,3.050001543196594,0.9458453637991211,15
6,6,5,0.12112888505257915,2.8823668997122147,0.9767170614186684,15
6,7,2,0.18288904725205848,4.172583661062098,0.7880491771459284,15
6,7,3,0.146748697333578,3.502051138877246,0.9588659247501345,15
6,7,4,0.14982217664499137,2.833386760346851,0.9892402620636814,15
6,7,5,0.12660778760243807,2.6539661051787427,0.9895989329369645,15
6,8,2,0.24966728333405516,3.4670384872142823,0.9201389231726156,15
6,8,3,0.13638047795587202,3.7211242759751606,0.9784733129360212,15
6,8,4,0.13192481325906807,3.032366254124895,0.9856270054480104,15
6,8,5,0.1164423350515383,2.716707331664321,0.9838185827149366,15
6,9,2,0.24397921982566087,4.139571606907189,0.9155818324979679,15
6,9,3,0.1277830635368385,4.006617574585396,0.9588488326586769,15
6,9,4,0.11015034099161321,3.2952693863990303,0.9707040292943435,15
6,9,5,0.11658586654859772,2.7311652522178687,0.9831235273219459,15
