L,N,nmax,q_eff2,q_mean,sum_aq
6,3,2,0.5333333333333332,0.0,0.6000000000000001
6,3,3,1.1111111111111112,-2.1587669923266936e-17,0.6428571428571428
6,3,4,1.1111111111111112,-2.1587669923266936e-17,0.6428571428571428
6,3,5,1.1111111111111112,-2.1587669923266936e-17,0.6428571428571428
6,4,2,0.5555555555555556,0.0,0.7999999999999999
6,4,3,1.3214285714285714,0.0,0.9333333333333333
6,4,4,1.8333333333333335,0.0,0.9523809523809523
6,4,5,1.8333333333333335,0.0,0.9523809523809523
6,5,2,0.5203252032520325,0.0,0.9761904761904762
6,5,3,1.373134328358209,0.0,1.2407407407407407
6,5,4,2.250000000000001,-4.2674197509029463e-17,1.300813008130081
6,5,5,2.666666666666667,0.0,1.3095238095238093
6,6,2,0.4871794871794873,0.0,1.106382978723404
6,6,3,1.3923076923076925,-3.5868743872505053e-17,1.5476190476190477
6,6,4,2.4301675977653625,0.0,1.6807511737089205
6,6,5,3.2820512820512824,3.245267302750458e-17,1.7105263157894735
6,7,2,0.42666666666666664,0.0,1.1904761904761905
6,7,3,1.3554502369668244,0.0,1.8508771929824563
6,7,4,2.4956772334293946,-5.3271508242100455e-17,2.084084084084084
6,7,5,3.6408364083640836,0.0,2.1507936507936507
6,8,2,0.37037037037037035,0.0,1.2
6,8,3,1.2910958904109588,0.0,2.139194139194139
6,8,4,2.5168350168350173,-4.443695691997154e-17,2.498422712933754
6,8,5,3.82020997375328,2.1144503470961393e-17,2.625322997416021
6,9,2,0.2807017543859649,0.0,1.1400000000000001
6,9,3,1.220143884892086,0.0,2.3965517241379315
6,9,4,2.483516483516484,0.0,2.921348314606741
6,9,5,3.8994434849357127,-1.7747376309974195e-17,3.127851140456183
