L,N,nmax,filling,observable,U_at_maximum,sampled_W_near_Wstar,maximum_value
8,4,3,0.5,onsite_pair_variance,1.0,5.0,2.7620760424175335
8,4,3,0.5,charge_fluctuation,2.0,5.0,0.3590707898129267
8,4,3,0.5,fock_entropy_normalized,1.0,5.0,0.60487229510778
8,4,3,0.5,pr_normalized,1.0,5.0,0.06564397059705533
8,4,3,0.5,Nres_mean_l1.0,10.0,2.0,1.4856314699791249
8,4,3,0.5,Nres_mean_l2.0,10.0,2.0,2.433788819875387
8,4,3,0.5,fres_l1.0,10.0,2.0,0.2533757062147274
8,4,3,0.5,fres_l2.0,10.0,2.0,0.41508474576276
8,5,3,0.625,onsite_pair_variance,1.0,5.0,3.900936665914867
8,5,3,0.625,charge_fluctuation,1.0,5.0,0.49074065641692
8,5,3,0.625,fock_entropy_normalized,1.0,5.0,0.66589678956864
8,5,3,0.625,pr_normalized,1.0,5.0,0.070479172825928
8,5,3,0.625,Nres_mean_l1.0,10.0,2.0,1.56386446886572
8,5,3,0.625,Nres_mean_l2.0,1.0,5.0,2.8916483516488
8,5,3,0.625,fres_l1.0,10.0,2.0,0.23102543290035868
8,5,3,0.625,fres_l2.0,1.0,5.0,0.4271753246753134
8,6,3,0.75,onsite_pair_variance,1.0,6.0,4.6989679252907335
8,6,3,0.75,charge_fluctuation,2.0,6.0,0.5652918110379667
8,6,3,0.75,fock_entropy_normalized,1.0,6.0,0.64280748187318
8,6,3,0.75,pr_normalized,1.0,6.0,0.05227881908784593
8,6,3,0.75,Nres_mean_l1.0,9.0,2.0,1.6162464985994598
8,6,3,0.75,Nres_mean_l2.0,1.0,6.0,3.038832866480087
8,6,3,0.75,fres_l1.0,9.0,2.0,0.21465773809527935
8,6,3,0.75,fres_l2.0,1.0,6.0,0.40359499007932664
8,7,3,0.875,onsite_pair_variance,1.0,7.0,5.231980591558999
8,7,3,0.875,charge_fluctuation,7.0,1.0,0.7443376153421334
8,7,3,0.875,fock_entropy_normalized,1.0,7.0,0.6124387641539666
8,7,3,0.875,pr_normalized,1.0,7.0,0.03910989228642493
8,7,3,0.875,Nres_mean_l1.0,10.0,0.75,2.858212664436416
8,7,3,0.875,Nres_mean_l2.0,7.0,1.0,3.0873786407799995
8,7,3,0.875,fres_l1.0,10.0,0.75,0.3501933835489351
8,7,3,0.875,fres_l2.0,7.0,1.0,0.378271213323
8,8,3,1.0,onsite_pair_variance,1.0,7.0,5.8975022937064
8,8,3,1.0,charge_fluctuation,10.0,1.0,0.7289845348690934
8,8,3,1.0,fock_entropy_normalized,1.0,7.0,0.6265615649031935
8,8,3,1.0,pr_normalized,1.0,7.0,0.034910498474478864
8,8,3,1.0,Nres_mean_l1.0,10.0,1.0,2.5665289040024004
8,8,3,1.0,Nres_mean_l2.0,1.0,7.0,3.1083442322781933
8,8,3,1.0,fres_l1.0,10.0,1.0,0.29596525096526005
8,8,3,1.0,fres_l2.0,1.0,7.0,0.35844594594594403
