L,N,nmax,filling,U,W,r_mean,r_mean_stderr,r_mean_n,onsite_pair_density,onsite_pair_density_stderr,onsite_pair_density_n,onsite_pair_variance,onsite_pair_variance_stderr,onsite_pair_variance_n,charge_fluctuation,charge_fluctuation_stderr,charge_fluctuation_n,fock_entropy_normalized,fock_entropy_normalized_stderr,fock_entropy_normalized_n,ipr,ipr_stderr,ipr_n,pr,pr_stderr,pr_n,pr_normalized,pr_normalized_stderr,pr_normalized_n,entanglement_entropy,entanglement_entropy_stderr,entanglement_entropy_n,diag_std,diag_std_stderr,diag_std_n,disorder_diag_std,disorder_diag_std_stderr,disorder_diag_std_n,interaction_diag_std,interaction_diag_std_stderr,interaction_diag_std_n,connectivity_mean,connectivity_mean_stderr,connectivity_mean_n,Nres_mean_l1.0,Nres_mean_l1.0_stderr,Nres_mean_l1.0_n,Nres_mean_l2.0,Nres_mean_l2.0_stderr,Nres_mean_l2.0_n,fres_l1.0,fres_l1.0_stderr,fres_l1.0_n,fres_l2.0,fres_l2.0_stderr,fres_l2.0_n,Wstar,relative_offset,target_W,sampled_W_minus_Wstar
8,4,3,0.5,1.0,5.0,0.44968347236368006,0.00285697260363832,150,0.26603021450868664,0.0008843143371649176,150,2.7620760424175335,0.027194889478772157,150,0.35030494417156,0.004989025221911345,150,0.60487229510778,0.006832157220885833,150,0.08238890577458867,0.003185722536414737,150,21.137358532255796,0.9823975163704539,150,0.06564397059705533,0.003050923963881837,150,nan,nan,0,6.427602237772732,0.08010970519159867,150,6.113809890648267,0.08469368682541127,150,1.9552074686399998,1.8190602813362498e-17,150,5.863354037270001,7.276241125344999e-17,150,1.23204968944102,0.034494242035041096,150,2.3095652173912202,0.05095045181256542,150,0.21012711864405864,0.005883022211485399,150,0.39389830508476,0.008689642734984142,150,4.727593261925564,0.0,4.727593261925564,0.2724067380744364
8,4,3,0.5,2.0,5.0,0.4628365770665933,0.0030966256674671996,150,0.2734325272128,0.0008591496724133572,150,2.416160080754667,0.022030593751483616,150,0.3590707898129267,0.0047375966475122705,150,0.5957041255883534,0.006708164730829992,150,0.091195423691532,0.003420535854187694,150,19.590683498968733,0.7292390778387837,150,0.060840631984363326,0.002264717633037857,150,nan,nan,0,7.131639376941466,0.08530711027348349,150,5.9209398420107995,0.10348701454502304,150,3.9104149372799997,3.6381205626724996e-17,150,5.863354037270001,7.276241125344999e-17,150,1.0755693581780001,0.03090001683131111,150,2.058550724637433,0.036838277025164394,150,0.183439265536714,0.005270024057041238,150,0.3510875706215067,0.0062827993655221615,150,5.2451584170397965,0.0,5.2451584170397965,-0.24515841703979646
8,4,3,0.5,3.0,5.0,0.45916843696450665,0.002951681154574379,150,0.27033277836664665,0.0007033739998161867,150,1.53277938507472,0.019844608286783905,150,0.3213331771813933,0.004156633590120953,150,0.5339311902309799,0.0059572028953035466,150,0.1273988457170427,0.0037707254215988066,150,13.574546820169932,0.4522044369704858,150,0.042156977702382005,0.00140436160549783,150,nan,nan,0,8.330712461598601,0.07061422724598342,150,5.844485924233068,0.10298228116184927,150,5.865622405920001,7.276241125344999e-17,150,5.863354037270001,7.276241125344999e-17,150,0.8781780538299161,0.033228844835020796,150,1.69871635610728,0.030435236138954647,150,0.14977401129944734,0.005667207646651135,150,0.2897175141242733,0.00519075531607505,150,5.030725755320161,0.0,5.030725755320161,-0.03072575532016142
8,4,3,0.5,4.0,4.0,0.45698543883476,0.002526626129010806,150,0.25906692737209996,0.0004120520704566971,150,0.7360991947712333,0.012347485210681661,150,0.31103045426956666,0.0030190523000324897,150,0.5198152071096668,0.004558920270021209,150,0.13519018691975734,0.003237350444695714,150,11.966343436835002,0.32761154914779,150,0.03716255725725,0.0010174271712664724,150,nan,nan,0,9.174705260982334,0.037866918608229695,150,4.731751330573,0.0748160011363791,150,7.820829874559999,7.276241125344999e-17,150,5.863354037270001,7.276241125344999e-17,150,0.779627329192672,0.03549064673834631,150,1.5687784679089531,0.03499181513286801,150,0.13296610169491196,0.006052959878041464,150,0.2675564971751733,0.005967883724991865,150,3.8907709580805383,0.0,3.8907709580805383,0.1092290419194617
8,4,3,0.5,5.0,3.0,0.45977301295103984,0.0023410686416172823,150,0.25310722492351334,0.0001676334155817171,150,0.30889078950046,0.004871934907597536,150,0.31399013429202,0.0033361219676689346,150,0.5329459106748468,0.004853120793132751,150,0.12305239011622467,0.0031231088258095573,150,13.574917575164466,0.4315402723736281,150,0.04215812911541133,0.0013401871812844374,150,nan,nan,0,10.440685778964799,0.019962875715557486,150,3.605454679454801,0.057759562877097076,150,9.776037343199999,1.4552482250689998e-16,150,5.863354037270001,7.276241125344999e-17,150,0.9845134575570118,0.04084994144427954,150,1.8148240165635532,0.04180525697434884,150,0.1679096045197986,0.006966992131915565,150,0.30951977401133995,0.007129922005157051,150,3.0629369486646927,0.0,3.0629369486646927,-0.06293694866469268
8,4,3,0.5,6.0,3.0,0.45441363188378003,0.002725215473252919,150,0.25452610544765336,0.00013157815139120188,150,0.18695040007185332,0.0024223247963063507,150,0.3012094347435333,0.004346268770526444,150,0.51383134947426,0.006124474906747582,150,0.13347166868514335,0.004087605821557868,150,13.149155779769135,0.5294658240704347,150,0.040835887514822,0.0016443038014617546,150,nan,nan,0,12.294705408786667,0.01784382740906021,150,3.608209233652933,0.06163021920402911,150,11.731244811799998,1.4552482250689998e-16,150,5.863354037270001,7.276241125344999e-17,150,1.0672463768117628,0.046192920937491694,150,1.8718012422364132,0.04760989810246118,150,0.18201977401129996,0.00787824181243238,150,0.3192372881355934,0.008119908468752577,150,2.8633556676608105,0.0,2.8633556676608105,0.1366443323391895
8,4,3,0.5,7.0,3.0,0.4511248142758667,0.002310819647929733,150,0.2544243383568134,0.0001232901272494428,150,0.12453023628316001,0.0007352842448641288,150,0.2980194524348733,0.003922276930477666,150,0.5106829456444666,0.005453990687610503,150,0.12917561136421668,0.0036747736742707635,150,12.7076454577826,0.42136454733624346,150,0.03946473744652867,0.0013085855507333534,150,nan,nan,0,14.128720821467335,0.014421373983300066,150,3.4375446312097333,0.05885092994755631,150,13.686452280499992,5.820992900275999e-16,150,5.863354037270001,7.276241125344999e-17,150,1.1108902691512865,0.0394613587234623,150,1.919420289855487,0.04044798539469385,150,0.18946327683616135,0.006730168172120818,150,0.3273587570621487,0.006898438187012223,150,2.710094529782401,0.0,2.710094529782401,0.28990547021759916
8,4,3,0.5,8.0,3.0,0.4436954521798399,0.0022577806159429377,150,0.25442959054574005,9.480763091184695e-05,150,0.09400543462870933,0.0003432562525242962,150,0.2722698543735667,0.0039057545891747853,150,0.47486749014318663,0.005237412303286714,150,0.15157888924759735,0.004002106020407125,150,10.472204625959266,0.3656218877957732,150,0.032522374614783335,0.0011354717012298338,150,nan,nan,0,16.07806322143667,0.011860501101707053,150,3.6665952227728,0.053069333462972025,150,15.641659749099999,1.4552482250689998e-16,150,5.863354037270001,7.276241125344999e-17,150,0.9786335403728651,0.03865697246618535,150,1.7345755693586,0.04371623748122634,150,0.16690677966101722,0.0065929794142550666,150,0.29583333333338,0.007455841350084554,150,2.5333138228511656,0.0,2.5333138228511656,0.4666861771488344
8,4,3,0.5,9.0,3.0,0.4443371708632866,0.0026243410162982033,150,0.25410702931813334,4.222271212501686e-05,150,0.07285634317730867,0.00019327436262759335,150,0.28019930622875333,0.00423577623209961,150,0.48366875266819326,0.0057858723089024774,150,0.14402688044878,0.004124372730728526,150,11.303127411545267,0.42604184823043284,150,0.03510288016008333,0.0013231113299082679,150,nan,nan,0,17.95826398507267,0.01132216704461523,150,3.5142542247021993,0.058997625397696346,150,17.596867217800003,2.9104964501379997e-16,150,5.863354037270001,7.276241125344999e-17,150,1.0173913043478708,0.04381914489057992,150,1.841076604555053,0.04424308538080462,150,0.17351694915253515,0.007473392295958167,150,0.31399717514130604,0.007545695705840162,150,2.52174903512885,0.0,2.52174903512885,0.47825096487115015
8,4,3,0.5,10.0,2.0,0.4717608608212066,0.002291147753102065,150,0.2541441814057067,3.129117733317374e-06,150,0.05737282876011266,3.891335669681264e-05,150,0.35321594507806,0.003224338768045886,150,0.5859575480519467,0.0042442747463745075,150,0.08327648402578733,0.0018765849364297716,150,20.019541534869997,0.5450886592692976,150,0.06217248923872399,0.0016928219231951657,150,nan,nan,0,19.69496449015133,0.004459180204749223,150,2.3194261640669667,0.03939362141561578,150,19.552074686399997,2.9104964501379997e-16,150,5.863354037270001,7.276241125344999e-17,150,1.4856314699791249,0.04583446922122642,150,2.433788819875387,0.039761194934270265,150,0.2533757062147274,0.007817107568456579,150,0.41508474576276,0.006781305491988395,150,2.43972280994148,0.0,2.43972280994148,-0.43972280994147983
