L,N,nmax,A,B,C,D2,Gamma_min_over_t,Gamma_max_over_t,n_channels
8,5,5,0.21810422282120392,-0.005943561333226648,0.5314375068208742,0.8153846153846154,2.8284271247461903,5.656854249492381,6
8,6,6,0.19635408620423295,-0.005625403159671351,0.5084652647516382,0.90278940027894,2.8284271247461903,6.928203230275509,9
8,7,7,0.17870381703414867,-0.005317163949696413,0.48930341867515575,0.9849479032119176,2.8284271247461903,7.745966692414834,12
8,8,8,0.1640657839175244,-0.00502024947882838,0.4731760944325888,1.0625690947058102,2.8284271247461903,8.94427190999916,16
