L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
8,8,8,1.0,1.0,300,0.1597285012371203,0.0,0.0,0.0
8,8,8,1.0,2.0,300,0.3025961354427361,0.0,0.0,0.0
8,8,8,1.0,3.0,300,0.42958348444281697,1.0,0.0,1.0
8,8,8,1.0,4.0,300,0.5451013633114233,0.5806260077193839,0.4915476333713432,0.6606965152252195
8,8,8,1.0,5.0,300,0.6520503558435694,0.908397840325768,0.8403837337738002,0.9695197875194783
8,8,8,1.0,6.0,300,0.7522015447356241,1.1099234471955393,1.051131250915633,1.1638261006759971
8,8,8,1.0,7.0,300,0.8467116543907619,1.2539584766125613,1.1987648889703857,1.3063057858899054
8,8,8,1.0,8.0,300,0.9363956357403673,1.3682373063370086,1.3143946252781578,1.4206111839541589
8,8,8,1.0,9.0,300,1.0218648435550972,1.4635747299378892,1.4102232191771213,1.517495474870477
8,8,8,1.0,10.0,300,1.1036001912265534,1.5463474344097863,1.4910912201081816,1.601836193583527
