L,N,nmax,W_over_t,U_over_t,realizations,entropy_norm_mean,entropy_norm_sem,delta_entropy_norm_mean,delta_entropy_norm_paired_sem,entropy2_norm_mean,entropy2_norm_sem,IPR_mean,IPR_sem,gap_ratio_mean,gap_ratio_sem,Q_mean_mean,Q_mean_sem,Q_variance_mean,Q_variance_sem,H_Q_mean,H_Q_sem,S_intra_Q_mean,S_intra_Q_sem
8,8,8,1.0,0.0,300,0.8555303852818997,0.0007928791815315652,0.0,0.0,0.789000620796994,0.0009653612718338129,0.0010926716442696857,1.0750949001457032e-05,0.39954206951726806,0.004287897923189012,12.303090319308415,0.01467492548593782,45.066577451737906,0.17921347645622523,2.3408717594926878,0.0013160721509183815,5.161708045639134,0.00656468283738063
8,8,8,1.0,1.0,300,0.4680874258234792,0.0024807797510202696,-0.3874429594584204,0.0023339972926065965,0.3706314909164868,0.002283666284334659,0.0617392468015917,0.0012052025284532803,0.41553084157536707,0.0033504280547564636,22.190907042639544,0.0586175723404712,20.034752178705,0.11088703166952388,1.5973559019602335,0.006050786324310965,2.5075401115953873,0.01724452436185023
8,8,8,1.0,2.0,300,0.2153949015961837,0.0017028071820422914,-0.6401354836857158,0.002037448494763676,0.17084668940625317,0.0016493974680755338,0.3100219769271011,0.004740558419035354,0.39429918248833473,0.0034364941183296603,28.292399064012073,0.040700656271445736,4.611691955556531,0.02723231352758811,0.4927570508343088,0.0036297368508423668,1.396150072331635,0.01596128245107126
8,8,8,1.0,3.0,300,0.22752601340337664,0.0013023306406822817,-0.6280043718785229,0.001457874605212932,0.19278886441460794,0.0012455978520422605,0.23779231409110793,0.0032830986698017977,0.3869810641374061,0.0036030677592721063,29.243592372981105,0.026310698424959603,2.0740988670721054,0.014269460733161014,0.2717227045115197,0.002696664477369836,1.7235682900214848,0.012547396114486006
8,8,8,1.0,4.0,300,0.24159466968127244,0.0011521346222969691,-0.6139357156006272,0.0012728096087309296,0.20903116125442386,0.0011158002920064046,0.18048868210260338,0.0019395402070213755,0.38849967247859984,0.0033574233398896056,29.772740842202875,0.013469305498801576,1.1398647935185093,0.01018935153153174,0.16456365579196044,0.0016111804601439516,1.9541025201393094,0.010773728935653596
8,8,8,1.0,5.0,300,0.2412481197942763,0.0011701751633944415,-0.6142822654876233,0.001240836262388969,0.21054089947679086,0.0011413322860545875,0.1760228091112734,0.0017868480109825727,0.38967473974645456,0.0032890996232770894,29.90860562610362,0.007252025680718906,0.7064757896675867,0.006847095411295662,0.10607755580010886,0.000984617222127879,2.009549548429702,0.010677703695587308
8,8,8,1.0,6.0,300,0.239490388616166,0.001186750444472932,-0.6160399966657335,0.001242119461112494,0.21022219919431118,0.001150929958489099,0.17639582222445885,0.0018281834654442788,0.3867233153650914,0.00346454317600147,29.9527168996184,0.005018148704657411,0.48669521228903495,0.004776342934344904,0.0760201830518823,0.0006456313778799211,2.0241924850963913,0.010705924639502346
8,8,8,1.0,7.0,300,0.2379188378393469,0.0012083858915523523,-0.6176115474425526,0.001253258132261545,0.20971631818050748,0.0011670617987135424,0.17699711414649805,0.0018654902508847457,0.3844295445778477,0.003387121751751225,29.97537691970413,0.002968104962468454,0.3560009816924171,0.003491011010524927,0.05747664863072634,0.00039318928566382225,2.028954293790743,0.010813983977679601
8,8,8,1.0,8.0,300,0.23689238737484625,0.001205301949702949,-0.6186379979070533,0.0012431608367549035,0.2094126142021664,0.0011629270552353836,0.1774884770965692,0.0018711320756339435,0.3858341490653614,0.0033189063210987777,29.985294371327853,0.0015705711784919625,0.27218470695621083,0.0026417428302074578,0.045496812514919716,0.00024167309082450506,2.0319326652497534,0.010720489758114475
8,8,8,1.0,9.0,300,0.2359086156100229,0.001207960745518909,-0.6196217696718767,0.0012456052979200564,0.2090029381783045,0.0011609362320570127,0.1780705657417627,0.0018714659033779628,0.3900537267488329,0.0034371950973948015,29.989806714349232,0.000992988145431119,0.21502013805636647,0.002074714911429582,0.03714186907517433,0.00018078831423857565,2.0316604151933952,0.01071120629743369
