task_index,L,N,nmax,W_over_t,realization_start,realization_stop,realizations_in_block,U_points,U_values_over_t_json,core_hash
0,8,8,8,1.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
1,8,8,8,1.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
2,8,8,8,1.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
3,8,8,8,1.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
4,8,8,8,1.0,32,40,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
5,8,8,8,1.0,40,48,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
6,8,8,8,1.0,48,56,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
7,8,8,8,1.0,56,64,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
8,8,8,8,1.0,64,72,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
9,8,8,8,1.0,72,80,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",5ae5915ab93bd232cb73b61b9486a847ec7027f1bf5812841b75e4614a4d70ca
