L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,4,4,0.8,0.0,0.0,0.07324081924454065,0,0.0
7,4,4,0.8,0.0,0.07324081924454065,0.1464816384890813,0,0.0
7,4,4,0.8,0.0,0.1464816384890813,0.21972245773362195,0,0.0
7,4,4,0.8,0.0,0.21972245773362195,0.2929632769781626,0,0.0
7,4,4,0.8,0.0,0.2929632769781626,0.3662040962227032,0,0.0
7,4,4,0.8,0.0,0.3662040962227032,0.4394449154672439,0,0.0
7,4,4,0.8,0.0,0.4394449154672439,0.5126857347117846,0,0.0
7,4,4,0.8,0.0,0.5126857347117846,0.5859265539563252,0,0.0
7,4,4,0.8,0.0,0.5859265539563252,0.6591673732008658,0,0.0
7,4,4,0.8,0.0,0.6591673732008658,0.7324081924454064,18,0.0036
7,4,4,0.8,0.0,0.7324081924454064,0.8056490116899472,0,0.0
7,4,4,0.8,0.0,0.8056490116899472,0.8788898309344878,6,0.0012
7,4,4,0.8,0.0,0.8788898309344878,0.9521306501790284,12,0.0024
7,4,4,0.8,0.0,0.9521306501790284,1.0253714694235692,81,0.0162
7,4,4,0.8,0.0,1.0253714694235692,1.0986122886681098,69,0.0138
7,4,4,0.8,0.0,1.0986122886681098,1.1718531079126504,189,0.0378
7,4,4,0.8,0.0,1.1718531079126504,1.245093927157191,354,0.0708
7,4,4,0.8,0.0,1.245093927157191,1.3183347464017316,435,0.087
7,4,4,0.8,0.0,1.3183347464017316,1.3915755656462723,713,0.1426
7,4,4,0.8,0.0,1.3915755656462723,1.464816384890813,923,0.1846
7,4,4,0.8,0.0,1.464816384890813,1.5380572041353537,892,0.1784
7,4,4,0.8,0.0,1.5380572041353537,1.6112980233798944,768,0.1536
7,4,4,0.8,0.0,1.6112980233798944,1.684538842624435,426,0.0852
7,4,4,0.8,0.0,1.684538842624435,1.7577796618689756,114,0.0228
7,4,4,0.8,0.0,1.7577796618689756,1.8310204811135162,0,0.0
7,4,4,0.8,0.0,1.8310204811135162,1.9042613003580569,0,0.0
